"","tag_code","state","date_time","pathway"
"1801","384.3B23A4432F","mainstem, BON to MCN",2015-07-18 09:22:16,"BON (adult)"
"1803","384.3B23A4432F","mainstem, MCN to ICH or PRA",2015-09-12 00:28:04,"MCN (adult)"
"1804","384.3B23A4432F","mainstem, ICH to LGR",2015-09-13 09:08:46,"ICH (adult)"
"1807","384.3B23A4432F","mainstem, upstream of LGR",2015-09-22 03:14:47,"LGR (adult)"
"1808","384.3B23A450EB","mainstem, BON to MCN",2015-09-06 04:30:24,"BON (adult)"
"1810","384.3B23A450EB","mainstem, MCN to ICH or PRA",2015-09-15 01:45:16,"MCN (adult)"
"...1811","384.3B23A450EB","mainstem, BON to MCN",NA,"implicit"
"1812","384.3B23A450EB","John Day River",2015-10-26 17:28:52,"JDR_sites"
"1823","384.3B23A47128","mainstem, BON to MCN",2016-08-20 07:45:52,"BON (adult)"
"1824","384.3B23A4829D","mainstem, BON to MCN",2015-07-21 08:53:11,"BON (adult)"
"1826","384.3B23A4829D","mainstem, MCN to ICH or PRA",2015-08-30 12:59:57,"MCN (adult)"
"1827","384.3B23A4829D","mainstem, ICH to LGR",2015-09-01 09:59:57,"ICH (adult)"
"1830","384.3B23A4829D","mainstem, upstream of LGR",2015-09-15 09:43:06,"LGR (adult)"
"1831","384.3B23A4829D","mainstem, ICH to LGR",NA,"implicit"
"1832","384.3B23A4829D","mainstem, upstream of LGR",2016-03-04 13:48:06,"LGR (adult)"
"1833","384.3B23A494A6","mainstem, BON to MCN",2015-08-09 23:08:30,"BON (adult)"
"1835","384.3B23A494A6","mainstem, MCN to ICH or PRA",2015-10-03 23:08:08,"MCN (adult)"
"1836","384.3B23A494A6","mainstem, ICH to LGR",2015-10-05 09:05:35,"ICH (adult)"
"1839","384.3B23A494A6","mainstem, upstream of LGR",2015-10-17 07:45:48,"LGR (adult)"
"1840","384.3B23A49E4B","mainstem, BON to MCN",2015-07-14 23:10:46,"BON (adult)"
"1842","384.3B23A49E4B","mainstem, MCN to ICH or PRA",2015-10-08 18:32:10,"MCN (adult)"
"1843","384.3B23A49E4B","mainstem, ICH to LGR",2015-10-10 09:28:10,"ICH (adult)"
"1846","384.3B23A49E4B","mainstem, upstream of LGR",2015-10-16 03:39:40,"LGR (adult)"
"1847","384.3B23A49E4B","mainstem, ICH to LGR",2015-11-04 16:15:06,"ICH_LGR_inriver"
"1850","384.3B23A49E4B","Tucannon River",2016-01-20 07:23:29,"TUC_sites"
"1855","384.3B23A4B6EF","mainstem, BON to MCN",2016-09-06 12:05:56,"BON (adult)"
"1856","384.3B23A4B6EF","mainstem, mouth to BON",NA,"implicit"
"1857","384.3B23A4B6EF","mainstem, BON to MCN",2016-09-07 02:52:28,"BON (adult)"
"1859","384.3B23A4D246","mainstem, BON to MCN",2016-07-15 06:28:30,"BON (adult)"
"1860","384.3B23A4D246","mainstem, mouth to BON",NA,"implicit"
"1861","384.3B23A4D246","mainstem, BON to MCN",2016-07-16 02:51:39,"BON (adult)"
"1862","384.3B23A4D246","mainstem, mouth to BON",NA,"implicit"
"1863","384.3B23A4D246","mainstem, BON to MCN",2016-07-16 12:44:15,"BON (adult)"
"1865","384.3B23A4D246","John Day River",2016-10-20 22:05:33,"JDR_sites"
"...1866","384.3B23A4D246","mainstem, BON to MCN",NA,"implicit"
"1867","384.3B23A4D246","mainstem, mouth to BON",2017-05-31 05:54:52,"BON_fallback_arrays"
"1868","384.3B23A504F4","mainstem, BON to MCN",2015-08-05 09:25:11,"BON (adult)"
"1869","384.3B23A504F4","mainstem, mouth to BON",NA,"implicit"
"1870","384.3B23A504F4","mainstem, BON to MCN",2015-08-05 22:45:41,"BON (adult)"
"1872","384.3B23A504F4","mainstem, MCN to ICH or PRA",2015-08-12 03:42:02,"MCN (adult)"
"1873","384.3B23A504F4","mainstem, PRA to RIS",2015-08-19 00:14:21,"PRA (adult)"
"1874","384.3B23A504F4","mainstem, RIS to RRE",2015-08-22 23:28:21,"RIS (adult)"
"1875","384.3B23A504F4","mainstem, RRE to WEL",2015-08-25 00:55:05,"RRE (adult)"
"1876","384.3B23A504F4","mainstem, upstream of WEL",2015-08-27 00:35:55,"WEL (adult)"
"1877","384.3B23A504F4","Methow River",2015-08-28 12:39:40,"MET_sites"
"1878","384.3B23A5399E","mainstem, BON to MCN",2015-08-16 11:27:03,"BON (adult)"
"1879","384.3B23A5399E","mainstem, mouth to BON",NA,"implicit"
"1880","384.3B23A5399E","mainstem, BON to MCN",2015-08-16 22:08:07,"BON (adult)"
"1882","384.3B23A5399E","mainstem, MCN to ICH or PRA",2015-09-17 01:05:18,"MCN (adult)"
"1883","384.3B23A5399E","mainstem, PRA to RIS",2015-09-21 11:07:09,"PRA (adult)"
"1884","384.3B23A5399E","mainstem, RIS to RRE",2015-09-24 05:53:06,"RIS (adult)"
"1885","384.3B23A5399E","mainstem, RRE to WEL",2015-09-25 11:58:56,"RRE (adult)"
"1886","384.3B23A5399E","mainstem, upstream of WEL",2015-09-28 01:40:33,"WEL (adult)"
"1887","384.3B23A56D0E","mainstem, BON to MCN",2015-07-31 05:20:45,"BON (adult)"
"1889","384.3B23A56D0E","mainstem, MCN to ICH or PRA",2015-10-23 02:14:42,"MCN (adult)"
"1890","384.3B23A56D0E","mainstem, BON to MCN",2015-11-23 13:17:49,"MCN_fallback_arrays"
"1891","384.3B23A56D0E","mainstem, MCN to ICH or PRA",2015-12-02 00:50:32,"MCN (adult)"
"...1892","384.3B23A56D0E","mainstem, BON to MCN",NA,"implicit"
"1893","384.3B23A56D0E","John Day River",2016-04-02 08:21:44,"JDR_sites"
"1897","384.3B23A594DA","mainstem, BON to MCN",2015-07-28 05:29:23,"BON (adult)"
"1899","384.3B23A594DA","mainstem, MCN to ICH or PRA",2015-09-25 01:14:06,"MCN (adult)"
"1900","384.3B23A5ADDF","mainstem, BON to MCN",2019-09-01 09:35:49,"BON (adult)"
"1903","384.3B23A5ADDF","mainstem, MCN to ICH or PRA",2019-09-27 03:37:47,"MCN (adult)"
"1904","384.3B23A5ADDF","mainstem, ICH to LGR",2019-09-29 08:16:10,"ICH (adult)"
"1907","384.3B23A5ADDF","mainstem, upstream of LGR",2019-10-04 03:03:20,"LGR (adult)"
"1908","384.3B23A5ADDF","Salmon River",2020-04-18 13:32:30,"SAL_sites"
"1909","384.3B23A5C8B4","mainstem, BON to MCN",2015-08-04 07:26:08,"BON (adult)"
"1911","384.3B23A5C8B4","mainstem, MCN to ICH or PRA",2015-08-10 06:37:36,"MCN (adult)"
"1912","384.3B23A5C8B4","mainstem, ICH to LGR",2015-08-14 04:42:06,"ICH (adult)"
"1915","384.3B23A5C8B4","mainstem, upstream of LGR",2015-08-25 08:19:55,"LGR (adult)"
"1916","384.3B23A5C8B4","mainstem, ICH to LGR",2016-03-18 02:26:43,"ICH_LGR_inriver"
"1917","384.3B23A5C8B4","Tucannon River",2016-03-20 04:12:21,"TUC_sites"
"1920","384.3B23A605B3","mainstem, BON to MCN",2016-08-19 10:48:16,"BON (adult)"
"1921","384.3B23A605B3","mainstem, mouth to BON",NA,"implicit"
"1922","384.3B23A605B3","mainstem, BON to MCN",2016-08-19 22:39:02,"BON (adult)"
"1924","384.3B23A605B3","mainstem, MCN to ICH or PRA",2016-09-07 08:24:12,"MCN (adult)"
"1925","384.3B23A605B3","mainstem, PRA to RIS",2016-09-13 09:32:09,"PRA (adult)"
"1926","384.3B23A605B3","mainstem, RIS to RRE",2016-09-15 23:11:16,"RIS (adult)"
"1927","384.3B23A605B3","mainstem, RRE to WEL",2016-09-17 07:47:36,"RRE (adult)"
"1928","384.3B23A605B3","mainstem, upstream of WEL",2016-09-20 01:23:34,"WEL (adult)"
"1929","384.3B23A63166","mainstem, BON to MCN",2015-08-09 01:58:28,"BON (adult)"
"1931","384.3B23A63166","mainstem, MCN to ICH or PRA",2015-08-21 02:27:53,"MCN (adult)"
"1932","384.3B23A63166","mainstem, PRA to RIS",2015-08-29 05:54:21,"PRA (adult)"
"1933","384.3B23A63166","mainstem, RIS to RRE",2015-09-01 05:35:18,"RIS (adult)"
"1934","384.3B23A63166","Wenatchee River",2015-09-04 14:29:29,"WEN_sites"
"...1935","384.3B23A63166","mainstem, RIS to RRE",NA,"implicit"
"1936","384.3B23A63166","mainstem, RRE to WEL",2015-10-12 10:25:02,"RRE (adult)"
"1937","384.3B23A63166","mainstem, upstream of WEL",2015-10-16 03:19:38,"WEL (adult)"
"1938","384.3B23A64721","mainstem, BON to MCN",2015-08-08 03:57:37,"BON (adult)"
"1940","384.3B23A64721","mainstem, MCN to ICH or PRA",2015-09-15 11:32:02,"MCN (adult)"
"1941","384.3B23A64721","mainstem, PRA to RIS",2015-09-20 08:34:06,"PRA (adult)"
"1942","384.3B23A64721","mainstem, RIS to RRE",2015-09-25 00:23:01,"RIS (adult)"
"1943","384.3B23A64721","mainstem, RRE to WEL",2015-09-27 12:08:49,"RRE (adult)"
"1944","384.3B23A64721","mainstem, upstream of WEL",2015-09-29 08:57:34,"WEL (adult)"
"1945","384.3B23A64721","Methow River",2015-10-04 01:15:18,"MET_sites"
"1948","384.3B23A65DEF","mainstem, BON to MCN",2016-08-03 07:06:36,"BON (adult)"
"1950","384.3B23A65DEF","mainstem, MCN to ICH or PRA",2016-08-23 02:07:30,"MCN (adult)"
"1951","384.3B23A65DEF","mainstem, PRA to RIS",2016-08-27 22:24:34,"PRA (adult)"
"1952","384.3B23A65DEF","mainstem, RIS to RRE",2016-09-04 14:03:34,"RIS (adult)"
"1953","384.3B23A65DEF","mainstem, RRE to WEL",2016-09-06 11:38:56,"RRE (adult)"
"1954","384.3B23A65DEF","mainstem, upstream of WEL",2016-09-13 07:43:57,"WEL (adult)"
"1955","384.3B23A65DEF","Methow River",2017-03-31 00:46:41,"MET_sites"
"1958","384.3B23A68348","mainstem, BON to MCN",2015-08-07 11:42:39,"BON (adult)"
"1959","384.3B23A6BD6C","mainstem, BON to MCN",2015-09-03 04:19:32,"BON (adult)"
"1961","384.3B23A6BD6C","mainstem, MCN to ICH or PRA",2015-09-09 02:16:41,"MCN (adult)"
"1962","384.3B23A6BD6C","mainstem, BON to MCN",NA,"implicit"
"1963","384.3B23A6BD6C","mainstem, MCN to ICH or PRA",2015-10-09 05:27:28,"MCN (adult)"
"1964","384.3B23A6BD6C","mainstem, BON to MCN",2015-12-14 03:04:32,"MCN_fallback_arrays"
"1965","384.3B23A6BD6C","John Day River",2016-02-18 14:23:39,"JDR_sites"
"1969","384.3B23A73BFB","mainstem, BON to MCN",2016-09-22 11:51:32,"BON (adult)"
"1970","384.3B23A73BFB","mainstem, mouth to BON",NA,"implicit"
"1971","384.3B23A73BFB","mainstem, BON to MCN",2016-09-22 20:15:26,"BON (adult)"
"1973","384.3B23A73BFB","mainstem, MCN to ICH or PRA",2016-09-28 01:53:56,"MCN (adult)"
"1974","384.3B23A73BFB","mainstem, ICH to LGR",2016-09-29 09:51:45,"ICH (adult)"
"1977","384.3B23A73BFB","mainstem, upstream of LGR",2016-10-05 04:55:18,"LGR (adult)"
"1978","384.3B23A7B970","mainstem, BON to MCN",2017-07-25 06:42:27,"BON (adult)"
"1979","384.3B23A7B970","mainstem, mouth to BON",NA,"implicit"
"1980","384.3B23A7B970","mainstem, BON to MCN",2017-07-26 22:27:57,"BON (adult)"
"1981","384.3B23A7DBA3","mainstem, BON to MCN",2014-05-05 02:39:11,"BON (adult)"
"1982","384.3B23A7DBA3","mainstem, mouth to BON",NA,"implicit"
"1983","384.3B23A7DBA3","mainstem, BON to MCN",2014-05-06 16:14:10,"BON (adult)"
"1984","384.3B23A7E64C","mainstem, BON to MCN",2016-08-29 06:17:17,"BON (adult)"
"1986","384.3B23A7E64C","mainstem, MCN to ICH or PRA",2016-09-30 01:10:12,"MCN (adult)"
"1987","384.3B23A7E64C","mainstem, ICH to LGR",2016-10-01 12:15:09,"ICH (adult)"
"1990","384.3B23A7E64C","mainstem, upstream of LGR",2016-10-08 06:47:10,"LGR (adult)"
"1991","384.3B23A7E8EB","mainstem, BON to MCN",2016-07-25 10:13:23,"BON (adult)"
"1992","384.3B23A7E8EB","mainstem, mouth to BON",NA,"implicit"
"1993","384.3B23A7E8EB","mainstem, BON to MCN",2016-07-25 23:54:43,"BON (adult)"
"1995","384.3B23A7E8EB","mainstem, MCN to ICH or PRA",2016-10-10 10:21:43,"MCN (adult)"
"1996","384.3B23A7E8EB","mainstem, ICH to LGR",2016-10-13 03:04:41,"ICH (adult)"
"...1998","384.3B23A7E8EB","mainstem, MCN to ICH or PRA",NA,"implicit"
"1999","384.3B23A7E8EB","Walla Walla River",2017-03-05 03:15:18,"WAWA_sites"
"2000","384.3B23A7F1F7","mainstem, BON to MCN",2016-08-21 01:00:54,"BON (adult)"
"2001","384.3B23A7F59B","mainstem, BON to MCN",2016-08-12 06:52:32,"BON (adult)"
"2003","384.3B23A7F59B","Deschutes River",2016-10-09 12:00:58,"DES_sites"
"...2004","384.3B23A7F59B","mainstem, BON to MCN",NA,"implicit"
"2005","384.3B23A7F59B","mainstem, MCN to ICH or PRA",2016-10-15 09:40:08,"MCN (adult)"
"2006","384.3B23A7F59B","mainstem, ICH to LGR",2016-10-18 06:18:57,"ICH (adult)"
"2009","384.3B23A7F59B","mainstem, upstream of LGR",2016-10-28 06:50:37,"LGR (adult)"
"2010","384.3B23A8030F","mainstem, BON to MCN",2015-08-11 02:17:21,"BON (adult)"
"2012","384.3B23A8030F","mainstem, MCN to ICH or PRA",2015-10-08 04:56:03,"MCN (adult)"
"2013","384.3B23A8030F","mainstem, ICH to LGR",2015-10-09 23:48:40,"ICH (adult)"
"2016","384.3B23A8030F","mainstem, upstream of LGR",2015-10-17 06:11:31,"LGR (adult)"
"2017","384.3B23A810A0","mainstem, BON to MCN",2015-07-25 08:13:06,"BON (adult)"
"2019","384.3B23A810A0","Deschutes River",2015-08-01 12:33:21,"DES_sites"
"...2020","384.3B23A810A0","mainstem, BON to MCN",NA,"implicit"
"2022","384.3B23A810A0","mainstem, MCN to ICH or PRA",2015-10-14 07:11:05,"MCN (adult)"
"2023","384.3B23A810A0","mainstem, ICH to LGR",2015-10-16 05:53:33,"ICH (adult)"
"2026","384.3B23A810A0","mainstem, upstream of LGR",2015-10-23 01:32:05,"LGR (adult)"
"2027","384.3B23A81B34","mainstem, BON to MCN",2015-07-30 03:30:43,"BON (adult)"
"2029","384.3B23A81B34","mainstem, MCN to ICH or PRA",2015-09-13 11:34:59,"MCN (adult)"
"2030","384.3B23A81B34","mainstem, BON to MCN",NA,"implicit"
"2031","384.3B23A81B34","mainstem, MCN to ICH or PRA",2015-09-13 23:07:53,"MCN (adult)"
"2032","384.3B23A81B34","mainstem, ICH to LGR",2015-12-11 00:41:39,"ICH (adult)"
"2035","384.3B23A81B34","mainstem, upstream of LGR",2015-12-20 01:32:46,"LGR (adult)"
"2036","384.3B23A82A72","mainstem, BON to MCN",2016-08-16 06:52:02,"BON (adult)"
"2038","384.3B23A82A72","mainstem, MCN to ICH or PRA",2016-09-22 02:37:37,"MCN (adult)"
"2039","384.3B23A82A72","mainstem, ICH to LGR",2016-10-07 05:06:42,"ICH (adult)"
"2042","384.3B23A82A72","mainstem, upstream of LGR",2016-10-22 07:15:42,"LGR (adult)"
"2043","384.3B23A82A72","mainstem, ICH to LGR",NA,"implicit"
"2044","384.3B23A82A72","mainstem, upstream of LGR",2016-10-23 04:10:37,"LGR (adult)"
"2045","384.3B23A8365A","mainstem, BON to MCN",2016-08-14 07:00:19,"BON (adult)"
"2047","384.3B23A8365A","mainstem, MCN to ICH or PRA",2016-10-05 09:08:50,"MCN (adult)"
"2048","384.3B23A8365A","mainstem, ICH to LGR",2016-10-12 14:08:25,"ICH (adult)"
"2051","384.3B23A8365A","mainstem, upstream of LGR",2016-10-25 06:02:02,"LGR (adult)"
"2052","384.3B23A84404","mainstem, BON to MCN",2015-08-03 09:41:04,"BON (adult)"
"2053","384.3B23A84404","mainstem, mouth to BON",NA,"implicit"
"2054","384.3B23A84404","mainstem, BON to MCN",2015-08-04 03:30:41,"BON (adult)"
"2056","384.3B23A84404","mainstem, MCN to ICH or PRA",2015-09-21 10:05:03,"MCN (adult)"
"2057","384.3B23A84404","mainstem, ICH to LGR",2015-09-24 00:53:35,"ICH (adult)"
"2060","384.3B23A84404","mainstem, upstream of LGR",2015-10-02 07:02:17,"LGR (adult)"
"2061","384.3B23A848C8","mainstem, BON to MCN",2015-07-29 23:37:04,"BON (adult)"
"2063","384.3B23A848C8","mainstem, MCN to ICH or PRA",2015-09-18 03:13:40,"MCN (adult)"
"2064","384.3B23A848C8","mainstem, ICH to LGR",2015-09-20 08:20:37,"ICH (adult)"
"2067","384.3B23A848C8","mainstem, upstream of LGR",2015-09-25 01:30:38,"LGR (adult)"
"2068","384.3B23A85492","mainstem, BON to MCN",2016-09-14 02:02:00,"BON (adult)"
"2070","384.3B23A85492","mainstem, MCN to ICH or PRA",2016-09-21 21:33:31,"MCN (adult)"
"2071","384.3B23A85492","mainstem, BON to MCN",NA,"implicit"
"2072","384.3B23A85492","mainstem, MCN to ICH or PRA",2016-09-22 13:31:03,"MCN (adult)"
"2073","384.3B23A85492","mainstem, BON to MCN",NA,"implicit"
"2074","384.3B23A85492","mainstem, MCN to ICH or PRA",2016-09-22 21:57:17,"MCN (adult)"
"2075","384.3B23A85492","mainstem, ICH to LGR",2016-09-25 04:24:33,"ICH (adult)"
"2078","384.3B23A85492","mainstem, upstream of LGR",2016-10-15 06:18:56,"LGR (adult)"
"2079","384.3B23A8647B","mainstem, BON to MCN",2017-07-11 01:39:46,"BON (adult)"
"2080","384.3B23A86AA6","mainstem, BON to MCN",2016-09-26 04:44:38,"BON (adult)"
"2082","384.3B23A86AA6","mainstem, MCN to ICH or PRA",2016-10-02 04:42:06,"MCN (adult)"
"2083","384.3B23A86AA6","mainstem, ICH to LGR",2016-10-04 04:08:08,"ICH (adult)"
"2086","384.3B23A86AA6","mainstem, upstream of LGR",2016-10-10 06:17:02,"LGR (adult)"
"2087","384.3B23A88459","mainstem, BON to MCN",2016-07-18 10:23:41,"BON (adult)"
"2089","384.3B23A88459","mainstem, MCN to ICH or PRA",2016-10-11 08:46:42,"MCN (adult)"
"2090","384.3B23A88459","Yakima River",2016-10-18 11:44:42,"YAK_sites"
"2092","384.3B23A89295","mainstem, BON to MCN",2016-09-16 01:30:20,"BON (adult)"
"2094","384.3B23A89295","mainstem, MCN to ICH or PRA",2016-09-29 03:01:04,"MCN (adult)"
"2095","384.3B23A89295","mainstem, ICH to LGR",2016-10-01 15:35:28,"ICH (adult)"
"2098","384.3B23A89295","mainstem, upstream of LGR",2016-10-12 11:10:15,"LGR (adult)"
"2099","384.3B23A8A14A","mainstem, BON to MCN",2015-07-28 05:04:01,"BON (adult)"
"2101","384.3B23A8A14A","Deschutes River",2015-08-02 11:24:09,"DES_sites"
"...2102","384.3B23A8A14A","mainstem, BON to MCN",NA,"implicit"
"2104","384.3B23A8A14A","mainstem, MCN to ICH or PRA",2015-09-20 09:26:03,"MCN (adult)"
"2105","384.3B23A8A14A","mainstem, ICH to LGR",2015-09-22 04:39:32,"ICH (adult)"
"2108","384.3B23A8A14A","mainstem, upstream of LGR",2015-09-30 02:00:12,"LGR (adult)"
"2109","384.3B23A8A14A","Grande Ronde River",2016-02-13 20:37:55,"GRRO_sites"
"2111","384.3B23A8AF10","mainstem, BON to MCN",2015-08-01 06:26:08,"BON (adult)"
"2114","384.3B23A8AF10","Deschutes River",2015-08-15 06:37:13,"DES_sites"
"...2115","384.3B23A8AF10","mainstem, BON to MCN",NA,"implicit"
"2118","384.3B23A8AF10","mainstem, MCN to ICH or PRA",2015-09-07 03:07:33,"MCN (adult)"
"2119","384.3B23A8AF10","mainstem, ICH to LGR",2015-09-12 04:21:00,"ICH (adult)"
"2120","384.3B23A8AF10","mainstem, MCN to ICH or PRA",NA,"implicit"
"2121","384.3B23A8AF10","mainstem, ICH to LGR",2015-09-12 22:21:43,"ICH (adult)"
"2124","384.3B23A8AF10","mainstem, upstream of LGR",2015-09-23 03:42:27,"LGR (adult)"
"2125","384.3B23A8BD22","mainstem, BON to MCN",2015-07-27 08:31:44,"BON (adult)"
"2127","384.3B23A8C99A","mainstem, BON to MCN",2015-08-02 09:54:52,"BON (adult)"
"2129","384.3B23A8D9D6","mainstem, BON to MCN",2015-08-09 12:52:00,"BON (adult)"
"2130","384.3B23A8D9D6","mainstem, mouth to BON",NA,"implicit"
"2131","384.3B23A8D9D6","mainstem, BON to MCN",2015-08-09 22:14:37,"BON (adult)"
"2132","384.3B23A8E659","mainstem, BON to MCN",2015-08-02 01:46:49,"BON (adult)"
"2134","384.3B23A8E659","mainstem, MCN to ICH or PRA",2015-08-13 04:11:37,"MCN (adult)"
"2135","384.3B23A8E659","mainstem, ICH to LGR",2015-08-17 00:53:43,"ICH (adult)"
"2139","384.3B23A8E659","mainstem, upstream of LGR",2015-10-13 04:35:32,"LGR (adult)"
"2140","384.3B23A8E659","Imnaha River",2016-03-15 08:02:57,"IMN_sites"
"2143","384.3B23A8F2B9","mainstem, BON to MCN",2015-07-31 08:52:20,"BON (adult)"
"2145","384.3B23A8F2B9","mainstem, MCN to ICH or PRA",2015-09-12 14:15:50,"MCN (adult)"
"2146","384.3B23A8F2B9","mainstem, ICH to LGR",2015-09-16 09:35:08,"ICH (adult)"
"2149","384.3B23A8F2B9","mainstem, upstream of LGR",2015-09-26 10:12:33,"LGR (adult)"
"2150","384.3B23A905FD","mainstem, BON to MCN",2016-08-05 04:17:22,"BON (adult)"
"2151","384.3B23A905FD","mainstem, mouth to BON",NA,"implicit"
"2152","384.3B23A905FD","mainstem, BON to MCN",2016-08-05 22:32:22,"BON (adult)"
"2154","384.3B23A905FD","mainstem, MCN to ICH or PRA",2016-09-11 12:47:28,"MCN (adult)"
"2155","384.3B23A905FD","mainstem, ICH to LGR",2016-09-13 09:52:04,"ICH (adult)"
"2158","384.3B23A905FD","mainstem, upstream of LGR",2016-09-18 05:43:41,"LGR (adult)"
"2159","384.3B23A9186E","mainstem, BON to MCN",2015-08-11 09:30:30,"BON (adult)"
"2163","384.3B23A91C60","mainstem, BON to MCN",2016-07-05 10:01:04,"BON (adult)"
"2165","384.3B23A91C60","mainstem, MCN to ICH or PRA",2016-07-15 05:20:24,"MCN (adult)"
"2166","384.3B23A91C60","Walla Walla River",2017-01-22 04:37:55,"WAWA_sites"
"2167","384.3B23A921E6","mainstem, BON to MCN",2015-09-11 04:27:50,"BON (adult)"
"2169","384.3B23A921E6","mainstem, MCN to ICH or PRA",2015-09-19 07:06:51,"MCN (adult)"
"2170","384.3B23A921E6","mainstem, ICH to LGR",2015-09-21 10:36:47,"ICH (adult)"
"2171","384.3B23A921E6","mainstem, MCN to ICH or PRA",NA,"implicit"
"2172","384.3B23A921E6","mainstem, ICH to LGR",2015-09-22 11:25:07,"ICH (adult)"
"2175","384.3B23A921E6","mainstem, upstream of LGR",2015-10-03 01:12:09,"LGR (adult)"
"2176","384.3B23A921E6","Imnaha River",2016-04-19 07:18:00,"IMN_sites"
"2177","384.3B23A9257E","mainstem, BON to MCN",2016-08-06 10:10:05,"BON (adult)"
"2179","384.3B23A9257E","mainstem, MCN to ICH or PRA",2016-09-25 02:09:13,"MCN (adult)"
"2180","384.3B23A9257E","Walla Walla River",2017-02-11 04:17:06,"WAWA_sites"
"2181","384.3B23A92C9A","mainstem, BON to MCN",2016-07-31 07:27:41,"BON (adult)"
"2182","384.3B23A92C9A","mainstem, mouth to BON",NA,"implicit"
"2183","384.3B23A92C9A","mainstem, BON to MCN",2016-07-31 23:02:27,"BON (adult)"
"2184","384.3B23A9305F","mainstem, BON to MCN",2014-05-15 04:17:17,"BON (adult)"
"2185","384.3B23A9305F","mainstem, mouth to BON",NA,"implicit"
"2186","384.3B23A9305F","mainstem, BON to MCN",2014-05-15 13:35:28,"BON (adult)"
"2187","384.3B23A939A6","mainstem, BON to MCN",2015-08-09 11:19:47,"BON (adult)"
"2188","384.3B23A939A6","mainstem, mouth to BON",NA,"implicit"
"2189","384.3B23A939A6","mainstem, BON to MCN",2015-08-09 22:46:27,"BON (adult)"
"2191","384.3B23A939A6","mainstem, MCN to ICH or PRA",2015-08-30 04:13:41,"MCN (adult)"
"2192","384.3B23A939A6","mainstem, ICH to LGR",2015-09-01 05:08:31,"ICH (adult)"
"2195","384.3B23A939A6","mainstem, upstream of LGR",2015-09-11 08:14:16,"LGR (adult)"
"2196","384.3B23A939A6","Imnaha River",2016-04-03 20:48:34,"IMN_sites"
"2199","384.3B23A93DF0","mainstem, BON to MCN",2016-08-16 08:30:42,"BON (adult)"
"2200","384.3B23A93DF0","mainstem, mouth to BON",NA,"implicit"
"2201","384.3B23A93DF0","mainstem, BON to MCN",2016-08-16 23:40:18,"BON (adult)"
"2202","384.3B23A94302","mainstem, BON to MCN",2015-07-19 04:47:52,"BON (adult)"
"2204","384.3B23A94302","mainstem, MCN to ICH or PRA",2015-09-06 07:52:44,"MCN (adult)"
"2205","384.3B23A94302","mainstem, ICH to LGR",2015-09-09 01:08:49,"ICH (adult)"
"2208","384.3B23A94302","mainstem, upstream of LGR",2015-09-18 06:23:11,"LGR (adult)"
"2209","384.3B23A9469D","mainstem, BON to MCN",2015-08-31 04:51:51,"BON (adult)"
"2210","384.3B23A949BD","mainstem, BON to MCN",2015-08-13 12:22:25,"BON (adult)"
"2212","384.3B23A94F34","mainstem, BON to MCN",2016-08-09 12:45:49,"BON (adult)"
"2213","384.3B23A94F34","mainstem, mouth to BON",NA,"implicit"
"2214","384.3B23A94F34","mainstem, BON to MCN",2016-08-09 21:51:35,"BON (adult)"
"2216","384.3B23A94F34","mainstem, MCN to ICH or PRA",2016-08-17 05:11:01,"MCN (adult)"
"2217","384.3B23A94F34","mainstem, BON to MCN",NA,"implicit"
"2218","384.3B23A94F34","mainstem, MCN to ICH or PRA",2016-08-21 02:20:56,"MCN (adult)"
"2219","384.3B23A94F34","mainstem, ICH to LGR",2016-08-23 01:49:28,"ICH (adult)"
"...2220","384.3B23A94F34","mainstem, MCN to ICH or PRA",NA,"implicit"
"2221","384.3B23A94F34","Walla Walla River",2017-02-28 04:32:36,"WAWA_sites"
"2222","384.3B23A9554E","mainstem, BON to MCN",2015-07-27 10:23:51,"BON (adult)"
"2223","384.3B23A9554E","mainstem, mouth to BON",NA,"implicit"
"2224","384.3B23A9554E","mainstem, BON to MCN",2015-07-28 03:14:00,"BON (adult)"
"2226","384.3B23A9554E","mainstem, MCN to ICH or PRA",2015-09-07 06:34:21,"MCN (adult)"
"2227","384.3B23A9554E","mainstem, ICH to LGR",2015-09-11 09:56:25,"ICH (adult)"
"2230","384.3B23A95C68","mainstem, BON to MCN",2016-07-17 11:26:57,"BON (adult)"
"2231","384.3B23A95C68","mainstem, mouth to BON",NA,"implicit"
"2232","384.3B23A95C68","mainstem, BON to MCN",2016-07-18 02:22:34,"BON (adult)"
"2234","384.3B23A95C68","mainstem, MCN to ICH or PRA",2016-09-11 12:04:29,"MCN (adult)"
"2235","384.3B23A95C68","mainstem, ICH to LGR",2016-09-13 02:46:21,"ICH (adult)"
"2238","384.3B23A95C68","mainstem, upstream of LGR",2016-09-18 09:26:21,"LGR (adult)"
"2239","384.3B23A961A8","mainstem, BON to MCN",2014-05-26 14:02:08,"BON (adult)"
"2240","384.3B23A96585","mainstem, BON to MCN",2017-08-02 06:35:12,"BON (adult)"
"2243","384.3B23A96585","mainstem, MCN to ICH or PRA",2017-09-24 10:02:40,"MCN (adult)"
"2244","384.3B23A96585","Yakima River",2017-12-02 06:14:00,"YAK_sites"
"2247","384.3B23A96B72","mainstem, BON to MCN",2015-08-10 10:17:54,"BON (adult)"
