"","event_site_name","event_site_basin_name","event_site_subbasin_name","event_site_latitude","event_site_longitude"
"285","CHM - Chumstick Creek","Upper Columbia","Wenatchee",47.60485,-120.648606
"286","LWL - Ltl. White Salmon NFH returns","Middle Columbia","Middle Columbia-Hood",45.721799,-121.640678
"287","CHW - Chiwaukum Creek","Upper Columbia","Wenatchee",47.681436,-120.731185
"288","MISS2C - Mission Creek, Wenatchee River","Upper Columbia","Wenatchee",47.409938,-120.509648
"289","MWE - Middle Wenatchee River","Upper Columbia","Wenatchee",47.623026,-120.726203
"290","ICL - Lower Icicle Instream Array","Upper Columbia","Wenatchee",47.578648,-120.662589
"291","WTL - White River, Wenatchee Basin","Upper Columbia","Wenatchee",47.845936,-120.831626
"292","MCD - Mill Creek Diversion Project","Middle Columbia","Walla Walla",46.079843,-118.254402
"293","YHC - Yellowhawk Creek","Middle Columbia","Walla Walla",46.074979,-118.273783
"294","WW2 - SF Walla Walla at Bear Creek","Middle Columbia","Walla Walla",45.84417,-118.104691
"295","LWN - Little Wenatchee River","Upper Columbia","Wenatchee",47.834251,-120.838918
"296","CCT - Chikamin Creek Temporary Array","Upper Columbia","Wenatchee",47.908611,-120.722258
"297","KCB - Kiwanis Camp Bridge, Mill C","Middle Columbia","Walla Walla",45.998915,-118.113805
"298","BMT - Big Meadow Temporary Array","Upper Columbia","Wenatchee",47.867619,-120.696425
"299","UPT - Upper Peshastin Temporary Arr.","Upper Columbia","Wenatchee",47.397549,-120.65269
"300","TCT - Tronsen Creek Temporary Array","Upper Columbia","Wenatchee",47.397613,-120.651821
"301","SHK - Shitike Creek PIT Array","Deschutes","Lower Deschutes",44.764941,-121.243566
"302","BUCKHC - Buckhollow Creek, Deschutes River Basin","Deschutes","Lower Deschutes",45.172224,-120.816625
"303","85M - Eightmile Ck at Fivemile Ck","Middle Columbia","Middle Columbia-Hood",45.593295,-121.080635
"304","WHITEC - White Creek, Klickitat River Basin","Middle Columbia","Klickitat",46.123692,-121.072428
"305","MCL - Lower Mission Creek Instream","Upper Columbia","Wenatchee",47.518179,-120.472629
"306","RFP - Rolfing Acclimation Pond","Upper Columbia","Wenatchee",47.78504,-120.878984
"307","ROCK2C - Rock Creek, Columbia River (WA)","Middle Columbia","Middle Columbia-Lake Wallula",45.847152,-120.533616
"308","SQAW2C - Squaw Creek, Salmon River","Salmon","Upper Salmon",44.351905,-114.483024
"309","IMNAHR - Imnaha River","Lower Snake","Imnaha",45.396941,-116.791875
"310","WHC - Lwr White Creek, Klickitat Bsn","Middle Columbia","Klickitat",46.013806,-121.149766
"311","TR1 - Lower Trout Cr - Deschutes","Deschutes","Trout",44.821445,-121.081093
"312","TR2 - Trout/Antelope Cr - Deschutes","Deschutes","Trout",44.822169,-120.920636
"313","UMR - Upper Mad Rv. Temporary Array","Upper Columbia","Upper Columbia-Entiat",47.786546,-120.442145
"314","URT - Upper Roaring Temporary Array","Upper Columbia","Upper Columbia-Entiat",47.685722,-120.34895
"315","PD1 - Top of Chelan PUD side channel","Upper Columbia","Upper Columbia-Entiat",47.66911,-120.28434
"316","NFW - North Fork Walla Walla River","Middle Columbia","Walla Walla",45.898661,-118.304099
"317","SNAKE1 - Snake River - mouth to Palouse River (km 0-96)","Lower Snake","Lower Snake",46.431881,-118.638558
"318","SNAKE2 - Snake River - Palouse River to Clearwater River (km 96-224)","Lower Snake","Lower Snake-Tucannon",46.68055,-117.550122
"319","15D - Fifteenmile Ck at Dry Ck","Middle Columbia","Middle Columbia-Hood",45.506158,-121.046218
"320","ALMOTC - Almota Creek - tributary to Snake River","Lower Snake","Lower Snake-Tucannon",46.701606,-117.359348
"321","SWK - Lower Swauk Creek","Yakima","Upper Yakima",47.125645,-120.737782
"322","WOLFC - Wolf Creek, Methow River","Upper Columbia","Methow",48.477682,-120.37424
"323","NFT - North Fork Teanaway River","Yakima","Upper Yakima",47.25288,-120.87913
"324","TENMC2 - Tenmile Creek, tributary to Snake River","Lower Snake","Lower Snake-Asotin",46.19525,-117.041854
"325","15R - Fifteenmile Ck at Ramsey Ck","Middle Columbia","Middle Columbia-Hood",45.433719,-121.217211
"326","CHEWUR - Chewuch River","Upper Columbia","Methow",48.750507,-120.137116
"327","LBRIC - Little Bridge Creek,tributary to Twisp River","Upper Columbia","Methow",48.428449,-120.356446
"328","PENAWC - Penawawa Creek - tributary to Snake River","Lower Snake","Lower Snake-Tucannon",46.747772,-117.541357
"329","PATITC - Patit Creek - tributary to Touchet River","Middle Columbia","Walla Walla",46.344021,-117.925397
"330","3D4 - Bottom of 3D Side Channel","Upper Columbia","Upper Columbia-Entiat",47.89043,-120.4475
"331","PD2 - Bot of Chelan PUD side channel","Upper Columbia","Upper Columbia-Entiat",47.667974,-120.28157
"332","COLR8 - Columbia River - Chelan Falls, WA to Grand Coulee Dam (km 809-960)","Upper Columbia","Chief Joseph",48.040292,-119.558501
"333","MVP - Mid-Valley Acclimation Pond","Upper Columbia","Methow",48.504212,-120.25614
"334","JOH - Johnson Creek","Upper Columbia","Okanogan",48.501091,-119.506347
"335","FDC - Feed Canal","Middle Columbia","Umatilla",45.721488,-119.177031
"336","PAHTRP - Pahsimeroi River Trap","Salmon","Pahsimeroi",44.684528,-114.040438
"337","CHP - Chiwawa Acc. Pond","Upper Columbia","Wenatchee",47.789057,-120.651952
"338","SR2 - Bot of Entiat R side channel","Upper Columbia","Upper Columbia-Entiat",47.67255,-120.30824
"339","SR1 - Top of Entiat R side channel","Upper Columbia","Upper Columbia-Entiat",47.67318,-120.3095
"340","NASONC - Nason Creek (tributary to Wenatchee River)","Upper Columbia","Wenatchee",47.781943,-120.877637
"341","LYLFAT - Lyle Falls Adult Fish Trap, Klickitat River","Middle Columbia","Klickitat",45.71656,-121.259717
"342","KLICKR - Klickitat River","Middle Columbia","Klickitat",46.058337,-121.243027
"343","COLR5 - Columbia River - John Day Dam to Snake River (km 347-522)","Middle Columbia","Middle Columbia-Lake Wallula",45.865556,-119.694048
"344","DBO - Bakeoven Ck Deschutes Trib","Deschutes","Lower Deschutes",45.172741,-121.072549
"345","BAKEOC - Bakeoven Creek, Deschutes River Basin","Deschutes","Lower Deschutes",45.1277,-120.936481
"346","PARK - Parkdale Hatchery","Middle Columbia","Middle Columbia-Hood",45.5238,-121.6209
"347","BBP - Blackbird Pond Accl. Site","Upper Columbia","Wenatchee",47.588592,-120.664375
"348","SWC - Swale Creek Array","Middle Columbia","Klickitat",45.824582,-121.096904
"349","CFF - Castile Falls Fishway","Middle Columbia","Klickitat",46.258257,-121.24449
"350","WHEELC - Wheeler Canyon, tributary to Klickitat River","Middle Columbia","Klickitat",45.79887,-121.142704
"351","RI2BYP - RIS - Release into the PH2 Juvenile Facility Bypass Flume/Pipe","Upper Columbia","Upper Columbia-Entiat",47.343278,-120.0933
"352","TY1 - Low Flow Top of Tyee Channel","Upper Columbia","Upper Columbia-Entiat",47.871367,-120.426853
"353","HSU - Hancock Springs Upper","Upper Columbia","Methow",48.534604,-120.333895
"354","HSM - Hancock Springs Middle","Upper Columbia","Methow",48.533953,-120.3308
"355","WPC - Wimpey Creek, Lemhi R. Basin","Salmon","Lemhi",45.097938,-113.720497
"356","TWIS2P - Twisp Acclimation Pond (Methow Salmon Recovery Foundation)","Upper Columbia","Methow",48.36646,-120.139009
"357","KOOS - Kooskia National Fish Hatchery","Clearwater","Middle Fork Clearwater",46.129706,-115.946826
"358","UMF - Umatilla R below Feed Dam","Middle Columbia","Umatilla",45.720905,-119.177275
"359","FST - Foster Creek","Upper Columbia","Chief Joseph",47.996326,-119.646768
"360","WPT - White Pine Temporary Array","Upper Columbia","Wenatchee",47.774525,-120.91604
"361","COULTC - Coulter Creek, Wenatchee River Basin","Upper Columbia","Wenatchee",47.745194,-120.797108
"362","COP - Lower Coppei Instream Array","Middle Columbia","Walla Walla",46.26921,-118.16733
"363","SYC - Snyder Creek PIT Tag Array","Middle Columbia","Klickitat",45.825557,-121.159068
"364","MVFLAP - Moving Falls Acc. Ponds, WF Hood River","Middle Columbia","Middle Columbia-Hood",45.572948,-121.657419
"365","EVL - Eagle Valley Ranch - Lower","Salmon","Lemhi",45.115074,-113.774021
"366","EVU - Eagle Valley Ranch - Upper","Salmon","Lemhi",45.100087,-113.726042
"367","YAKIM1 - Yakima River - mouth to Naches River (km 0-187)","Yakima","Lower Yakima",46.23071,-119.997449
"368","JOHNSC - Johnson Creek","Salmon","South Fork Salmon",44.733928,-115.548602
"369","SIMCOC - Simcoe Creek, Toppenish Creek drainage","Yakima","Lower Yakima",46.385609,-120.749038
"370","UMT - Upper main stem Teanaway River","Yakima","Upper Yakima",47.254729,-120.895522
"371","BON - Bonneville Dam Complex","Lower Columbia","Lower Columbia-Sandy",45.644491,-121.940726
"372","BONH - Bonneville Hatchery","Lower Columbia","Lower Columbia-Sandy",45.633268,-121.956828
"373","SNDTAP - Sandtrap Acc. Ponds, EF Hood River","Middle Columbia","Middle Columbia-Hood",45.515395,-121.566008
"374","PD7 - Columbia River Estuary rkm 70","Lower Columbia","Lower Columbia-Clatskanie",46.14661,-123.379867
"375","GOLD2C - Gold Creek, Methow River","Upper Columbia","Methow",48.190329,-120.155537
"376","CZY - Crazyman Creek at 0.6 km","Lower Snake","Imnaha",45.2293,-116.84478
"377","DRY2C - Dry Creek - tributary to Imnaha River","Lower Snake","Imnaha",45.12179,-116.867075
"378","CRC - Carmen Creek, Salmon R. Basin","Salmon","Middle Salmon-Panther",45.246485,-113.893466
"379","3D1 - Top of 3D Side Channel","Upper Columbia","Upper Columbia-Entiat",47.8921,-120.4502
"380","WL2 - Bottom of Wilson Creek channel","Upper Columbia","Upper Columbia-Entiat",47.6953,-120.32015
"381","WELFBY - WEL - Release into the Forebay within 0.5 km upstream of Dam","Upper Columbia","Chief Joseph",47.947302,-119.864549
"382","WINDR - Wind River","Salmon","Middle Salmon-Chamberlain",45.522656,-115.883544
"383","AHTANC - Ahtanum Creek, Yakima River","Yakima","Lower Yakima",46.535107,-120.639069
"384","MCI - Mill Creek Intake Dam","Middle Columbia","Walla Walla",45.990016,-118.048399
"385","PRH - Priest Rapids Hatchery Outfall","Upper Columbia","Upper Columbia-Priest Rapids",46.631531,-119.872923
"386","YAKIM2 - Yakima River - Naches River to headwaters (km 187-345)","Yakima","Upper Yakima",47.104816,-120.723699
"387","AEN - Aeneas Creek Temporary Array","Upper Columbia","Okanogan",48.658578,-119.476197
"388","OMF - Omak Creek above Mission Falls","Upper Columbia","Okanogan",48.370177,-119.43408
"389","JDM - Upper John Day River Array","John Day","Upper John Day",44.458194,-119.431056
"390","BVT - Beaver Creek Temporary Array","Upper Columbia","Wenatchee",47.764831,-120.656264
"391","BVP - Beaver Creek Acclimation Pond","Upper Columbia","Wenatchee",47.768224,-120.648222
"392","CHIWAR - Chiwawa River","Upper Columbia","Wenatchee",47.950633,-120.776839
"393","MSKF - Methow Steelhead Kelt Facility","Upper Columbia","Methow",48.473126,-120.190372
"394","3D3 - Middle-2 of 3D Side Channel","Upper Columbia","Upper Columbia-Entiat",47.89192,-120.4477
"395","CROOKR - Crooked River","Clearwater","South Fork Clearwater",45.762658,-115.541435
"396","OBF - Omak Creek below Mission Falls","Upper Columbia","Okanogan",48.369997,-119.442154
"397","SA0 - Salmon Creek below OID Div.","Upper Columbia","Okanogan",48.401726,-119.616082
"398","MVF - Moving Falls Fish Ladder","Middle Columbia","Middle Columbia-Hood",45.572479,-121.657187
"399","TON - Tonasket Creek","Upper Columbia","Okanogan",48.941092,-119.422484
"400","AGC - Agency Creek, Lemhi R. Basin","Salmon","Lemhi",44.956739,-113.639543
"401","LLS - Lemhi Little Springs Instream","Salmon","Lemhi",44.780552,-113.545027
"402","CARMEC - Carmen Creek - tributary to Salmon River","Salmon","Middle Salmon-Panther",45.308498,-113.804281
"403","GUMBTC - Gumboot Creek, Imnaha River Basin","Lower Snake","Imnaha",45.155719,-116.941111
"404","MINP - Minthorn Acclimation Pond","Middle Columbia","Umatilla",45.669251,-118.620154
"405","IHR - Ice Harbor Dam","Lower Snake","Lower Snake",46.249527,-118.879964
"406","M3R - 3R side channel Methow River","Upper Columbia","Methow",48.43475,-120.157037
"407","30M - Thirtymile Crk John Day Basin","John Day","Lower John Day",45.162073,-120.465021
"408","UGS - Upper Grande Ronde Starkey","Lower Snake","Upper Grande Ronde",45.248955,-118.388958
"409","RIS - Rock Island Dam","Upper Columbia","Upper Columbia-Entiat",47.343278,-120.0933
"410","9MILEC - Ninemile Creek (tributary to Okanogan River)","Upper Columbia","Okanogan",48.978711,-119.354422
"411","WEH - Wells Dam Hatchery","Upper Columbia","Chief Joseph",47.945378,-119.86772
"412","GRS - Lower Granite Dam Spillway","Lower Snake","Lower Snake-Tucannon",46.658972,-117.430058
"413","EFPW - East Fork Potlatch River weir","Clearwater","Clearwater",46.798477,-116.419333
"414","WAN - Wanacut Creek","Upper Columbia","Okanogan",48.432259,-119.467687
"415","JPT - Juvenile Pond Touchet","Middle Columbia","Walla Walla",46.312881,-117.973529
"416","ICM - Middle Icicle Instream Array","Upper Columbia","Wenatchee",47.549657,-120.67971
"417","OKV - Vasuex Creek, BC, Canada","Upper Columbia","Okanogan",49.244904,-119.528391
"418","CWP - Chewuch Acclimation Pond","Upper Columbia","Methow",48.56511,-120.176618
"419","EBO - East Bank Hatchery Outfall","Upper Columbia","Upper Columbia-Entiat",47.534397,-120.290826
"420","KLR - Klickitat Riv. Floating Array","Middle Columbia","Klickitat",45.720309,-121.255137
"421","WWB - Walla Walla River Barge Array","Middle Columbia","Walla Walla",46.06426,-118.859915
"422","MR1 - Minam River at river km 0.5","Lower Snake","Wallowa",45.619623,-117.72657
"423","IR4 - Imnaha Weir Downstream Array","Lower Snake","Imnaha",45.19446,-116.868774
"424","IR5 - Imnaha Weir Upstream Array","Lower Snake","Imnaha",45.193188,-116.868593
"425","IML - Imnaha River Weir Adult Ladder","Lower Snake","Imnaha",45.194276,-116.868663
"426","IMNAHW - Imnaha River Weir","Lower Snake","Imnaha",45.194276,-116.868664
"427","CEY - Cearley Creek Side Channel","Salmon","Upper Salmon",44.339059,-114.72164
"428","IRONC - Iron Creek - tributary to Salmon River","Salmon","Middle Salmon-Panther",44.918701,-114.079355
"429","YANKFK - Yankee Fork Salmon River","Salmon","Upper Salmon",44.412169,-114.636147
"430","UMW - Umatilla R Recycled Water Fac","Middle Columbia","Umatilla",45.861949,-119.314651
"431","RSH - Ringold Springs Hatch. Outfall","Upper Columbia","Upper Columbia-Priest Rapids",46.510622,-119.260909
"432","WEN - Wenaha River Mouth","Lower Snake","Lower Grande Ronde",45.946151,-117.454124
"433","WR2 - Wallowa River at rkm 32","Lower Snake","Wallowa",45.594466,-117.579223
"434","AH1 - Ahtanum at Lasalle HS","Yakima","Lower Yakima",46.547465,-120.495246
"435","RFL - Redfish Lake Creek","Salmon","Upper Salmon",44.164727,-114.905043
"436","BBA - Big Bear Creek Array","Clearwater","Clearwater",46.627882,-116.650795
"437","LKR - Little Klickitat River Array","Middle Columbia","Klickitat",45.844255,-121.059839
"438","PCA - Panther Creek Array","Salmon","Middle Salmon-Panther",45.295253,-114.358101
"439","S2I - Lemhi Sub-reach 2 SC Inlet","Salmon","Lemhi",45.109457,-113.742696
"440","S2O - Lemhi Sub-reach 2 SC Outlet","Salmon","Lemhi",45.111257,-113.746418
"441","GCM - Grouse Creek Mouth","Lower Snake","Imnaha",45.328017,-116.806641
"442","SM1 - Simcoe Creek at Stephensen Rd","Yakima","Lower Yakima",46.400434,-120.690033
"443","SUC - Summit Creek, Klickitat","Middle Columbia","Klickitat",45.988999,-121.123698
"444","BBCTRP - Big Bear Creek Rotary Screw Trap","Clearwater","Clearwater",46.620203,-116.647563
"445","SND - Sandtrap Acclimation Site","Middle Columbia","Middle Columbia-Hood",45.515395,-121.566008
"446","TRA - Trout Creek Auxillary Site","Middle Columbia","Middle Columbia-Hood",45.803152,-121.935825
"447","MIN - Mine Reach of Wind River, WA","Middle Columbia","Middle Columbia-Hood",45.922676,-121.945794
"448","WRA - Upper Wind River Auxillary","Middle Columbia","Middle Columbia-Hood",45.862661,-121.966297
"449","CCU - Catherine Creek at Union","Lower Snake","Upper Grande Ronde",45.215252,-117.900689
"450","EPR - East Fork Potlatch Array","Clearwater","Clearwater",46.795091,-116.41088
"451","CAMP4C - Camp Creek, tributary to Big Sheep Creek, Imnaha drainage","Lower Snake","Imnaha",45.612929,-116.955678
"452","JDC - Cottonwood Creek, NF John Day","John Day","North Fork John Day",44.811143,-119.41956
