mrr_code|mrr_rkm|mrr_name|mrr_type|mrr_typedesc|mrr_huc8|mrr_huc8name|mrr_huc6|mrr_huc6name
ANTELC|328.140.021|Antelope Creek - tributary to Trout Creek (TROU2C) in the Deschutes River basin|River|Entire river or stream.|17070307|Trout|170703|Deschutes
SHTIKC|328.155|Shitike Creek, Deschutes River Basin|River|Entire river or stream.|17070306|Lower Deschutes|170703|Deschutes
PELTON|328.161|Pelton Ladder (Deschutes River) Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17070306|Lower Deschutes|170703|Deschutes
PERTAL|328.161|PER - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070306|Lower Deschutes|170703|Deschutes
PER|328.161|Pelton Reregulating Dam|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17070306|Lower Deschutes|170703|Deschutes
PERAFT|328.161|PER - Adult Fish Trap|Intra-Dam Release Site|Specific release site within a dam location.|17070306|Lower Deschutes|170703|Deschutes
ROU|328.177|Round Butte Dam|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17070306|Lower Deschutes|170703|Deschutes
ROUTAL|328.177|ROU - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070306|Lower Deschutes|170703|Deschutes
BCHINL|328.177|Lake Billy Chinook|Other|Other physical or geographical feature.|17070301|Upper Deschutes|170703|Deschutes
METOLR|328.177|Metolius River|River|Entire river or stream.|17070301|Upper Deschutes|170703|Deschutes
CROOK1|328.177|Crooked River - Lake Billy Chinook to Prineville Reservoir (km 0-113)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17070305|Lower Crooked|170703|Deschutes
ROUFTF|328.177|ROU - Release into the Fish Transfer Facility|Intra-Dam Release Site|Specific release site within a dam location.|17070306|Lower Deschutes|170703|Deschutes
CANDLC|328.177.044|Candle Creek, tributary to the Metolius River|River|Entire river or stream.|17070301|Upper Deschutes|170703|Deschutes
WZDF|328.177.053|Wizard Falls Hatchery, ODFW|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17070301|Upper Deschutes|170703|Deschutes
CANY3C|328.177.055|Canyon Creek, tributary to the Metolius River|River|Entire river or stream.|17070301|Upper Deschutes|170703|Deschutes
MSLA2C|328.177.061|Middle Fk South Fk Lake Creek, Metolius River watershed|River|Entire river or stream.|17070301|Upper Deschutes|170703|Deschutes
MLAK2C|328.177.061.003|Middle Fork Lake Creek, Metolius River watershed|River|Entire river or stream.|17070301|Upper Deschutes|170703|Deschutes
LAKE2C|328.177.061.007|Lake Creek, Metolius River watershed|River|Entire river or stream.|17070301|Upper Deschutes|170703|Deschutes
MCKA2C|328.177.072|McKay Creek, Crooked River|River|Entire river or stream.|17070305|Lower Crooked|170703|Deschutes
OCHOCC|328.177.072|Ochoco Creek, Crooked River|River|Entire river or stream.|17070305|Lower Crooked|170703|Deschutes
WYCHUC|328.198|Wychus Creek, Upper Deschutes River Basin|River|Entire river or stream.|17070301|Upper Deschutes|170703|Deschutes
FRFH|328.324.011|Fall River Fish Hatchery|Hatchery|Code representing the hatchery at which fish was reared, for entry into the Hatchery field.|17070301|Upper Deschutes|170703|Deschutes
LMILIS|331|Little Miller Island, Columbia River|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDPI|345|Preacher's Island downstream of John Day Dam|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDALD1|347|JDA - Release into south fish ladder|Intra-Dam Release Site|Specific release site within a dam location.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDARRR|347|JDA - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility|Intra-Dam Release Site|Specific release site within a dam location.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDATAL|347|JDA - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDABYP|347|JDA - Release into the Facility Bypass Flume/Pipe|Intra-Dam Release Site|Specific release site within a dam location.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDALD2|347|JDA - Release into north fish ladder|Intra-Dam Release Site|Specific release site within a dam location.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDA|347|John Day Dam|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDACOL|347|JDA - Release into the Collection Channel upstream of the Dewatering Facility|Intra-Dam Release Site|Specific release site within a dam location.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDAMRT|347|JDA - Mortality Recovery|Intra-Dam Release Site|Specific release site within a dam location.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDAGAT|347|JDA - Release into Flume between Separator Exit and the Primary PIT-Tag Diversion Gate|Intra-Dam Release Site|Specific release site within a dam location.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDAGWL|347|JDA - Release into Gatewell(s)|Intra-Dam Release Site|Specific release site within a dam location.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDAFBY|347|JDA - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070105|Middle Columbia-Hood|170701|Middle Columbia
JDAR2|351|John Day River - North Fork John Day River to headwaters (km 298-454)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17070201|Upper John Day|170702|John Day
JDAR1|351|John Day River - mouth to North Fork John Day River (km 0-298)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17070204|Lower John Day|170702|John Day
ROCK4C|351.034|Rock Creek, tributary to John Day River|River|Entire river or stream.|17070204|Lower John Day|170702|John Day
LONERC|351.034.076|Lone Rock Creek, Lower Mainstem John Day River|River|Entire river or stream.|17070204|Lower John Day|170702|John Day
30ML2C|351.134|Thirtymile Creek - tributary to John Day River|River|Entire river or stream.|17070204|Lower John Day|170702|John Day
BRIDGC|351.218|Bridge Creek, John Day River Basin|River|Entire river or stream.|17070204|Lower John Day|170702|John Day
BEAR2C|351.218.009|Bear Creek, John Day River Basin|River|Entire river or stream.|17070204|Lower John Day|170702|John Day
BRIDWB|351.218.020|West Branch Bridge Creek, John Day River Basin|River|Entire river or stream.|17070204|Lower John Day|170702|John Day
GABLEC|351.218.022|Gable Creek, John Day River Basin|River|Entire river or stream.|17070204|Lower John Day|170702|John Day
JDARNF|351.298|North Fork John Day River|River|Entire river or stream.|17070202|North Fork John Day|170702|John Day
COTN2C|351.298.025|Cottonwood Creek, North Fork John Day River|River|Entire river or stream.|17070202|North Fork John Day|170702|John Day
FOXC|351.298.025.036|Fox Creek, North Fork John Day River|River|Entire river or stream.|17070202|North Fork John Day|170702|John Day
JDARMF|351.298.052|Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
BEAR5C|351.298.052.070|Bear Creek, Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
CAMP2C|351.298.052.076|Camp Creek, Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
LICK3C|351.298.052.076.004|Lick Creek, Middle Fork John Day River Basin|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
COYO2C|351.298.052.081|Coyote Creek, tributary to Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
BBOUC|351.298.052.084|Big Boulder Creek, Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
BEAV5C|351.298.052.088|Beaver Creek, Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
GRBLDC|351.298.052.090|Granite Boulder Creek, Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
LEMONC|351.298.052.090.006|Lemon Creek, Middle Fork John Day River Basin|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
BUTTEC|351.298.052.091|Butte Creek, Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
DHORNC|351.298.052.098|Deerhorn Creek, tributary to Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
DCOWG|351.298.052.102|Dead Cow Gulch, Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
VNGRC|351.298.052.103|Vinegar Creek, tributary to Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
DAVISC|351.298.052.104|Davis Creek - Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
BRDG2C|351.298.052.106|Bridge Creek, Middle Fork John Day River|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
CLEA2C|351.298.052.106|Clear Creek, Middle Fork John Day River Basin|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
DRYFCC|351.298.052.106.003|Dry Fork Clear Creek, Middle Fork John Day River Basin|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
SUMI2C|351.298.052.114|Summit Creek, Middle Fork John Day River Basin|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
SQAW4C|351.298.052.114|Squaw Creek, Middle Fork John Day River Basin|River|Entire river or stream.|17070203|Middle Fork John Day|170702|John Day
CABLNF|351.298.089.027.011|North Fork Cable Creek, North Fork John Day River basin|River|Entire river or stream.|17070202|North Fork John Day|170702|John Day
DESOC|351.298.097|Desolation Creek, tributary to North Fork John Day River|River|Entire river or stream.|17070202|North Fork John Day|170702|John Day
JDARSF|351.341|South Fork John Day River|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
JSFBC|351.341.023|Black Canyon Creek, South Fork John Day River|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
JSFMC|351.341.027|Murderers Creek, South Fork John Day River|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
DUNCAN|351.341.027.010|Duncan Creek, South Fork John Day River Basin|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
MURDSF|351.341.027.012|South Fork Murderers Creek, South Fork John Day River Basin|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
TEXC|351.341.027.025|Tex Creek, South Fork John Day River Basin|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
JSFDC|351.341.028|Deer Creek, South Fork John Day River|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
JSFWC|351.341.033|Wind Creek, South Fork John Day River|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
WIDOWC|351.354|Widows Creek, John Day River Basin|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
BEECHC|351.378|Beech Creek - tributary to John Day River|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
BEECEF|351.378.018|East Fork Beech Creek, upper John Day River|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
CANY4C|351.392|Canyon Creek - tributary to John Day River|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
REYNOC|351.430|Reynolds Creek, tributary to John Day River|River|Entire river or stream.|17070201|Upper John Day|170702|John Day
ROCK2C|368|Rock Creek, Columbia River (WA)|River|Entire river or stream.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
SQAW3C|368.014|Squaw Creek, Rock Creek (WA) watershed, Columbia River|River|Entire river or stream.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
3MILIS|412|Three Mile Canyon Island (Col. R. below Blalock Island)|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
CBLAIS|440|Central Blalock Island, Columbia River near Boardman, OR|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
ROCKIS|441|Rock Island, Columbia River near Boardman, OR.|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
UMAR|465|Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
TMFTAL|465.005|TMF - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070103|Umatilla|170701|Middle Columbia
TMF|465.005|Three Mile Falls Dam (Umatilla River)|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17070103|Umatilla|170701|Middle Columbia
TMFFBY|465.005|TMF - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070103|Umatilla|170701|Middle Columbia
MXWLCN|465.024|Maxwell Diversion Canal - headgate to diversion screen (km 000-002)|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
FDD|465.045|Feed Diversion Dam, Umatilla River|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17070103|Umatilla|170701|Middle Columbia
FDDTAL|465.045|FDD - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070103|Umatilla|170701|Middle Columbia
FDDFBY|465.045|FDD - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070103|Umatilla|170701|Middle Columbia
FEEDCN|465.047|Feed Diversion Canal - headgate to diversion screen (km 000-001)|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
BIRCHC|465.077|Birch Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
BIRCHW|465.077.026|West Fork Birch Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
BIRCHE|465.077.026|East Fork Birch Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
PEARSC|465.077.026.018|Pearson Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
MCKAYC|465.082|McKay Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
TUTUIC|465.084|Tutuilla Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
PENP|465.090|Pendleton Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17070103|Umatilla|170701|Middle Columbia
MISSNC|465.098|Mission Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
COTTWC|465.105|Cottonwood Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
MOONSC|465.108|Moonshine Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
MINP|465.109|Minthorn Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17070103|Umatilla|170701|Middle Columbia
COONSC|465.109|Coonskin Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
THOP|465.113|Thornhollow Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17070103|Umatilla|170701|Middle Columbia
BCKROC|465.117|Buckaroo Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
SQAWC|465.124|Squaw Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
MEACHC|465.127|Meacham Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
BONP|465.127.003|Bonifer Springs Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17070103|Umatilla|170701|Middle Columbia
BOSTCC|465.127.003|Boston Canyon Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
LINEC|465.127.008|Line Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
CAMPC|465.127.018|Camp Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
MEACHN|465.127.024|North Fork Meacham Creek|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
MEACHE|465.127.031|East Fork Meacham Creek|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
BUTCHC|465.127.034|Butcher Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
IMQP|465.128|Imeques Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17070103|Umatilla|170701|Middle Columbia
RYANC|465.132|Ryan Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
UMATSF|465.145|South Fork Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
UMATNF|465.145|North Fork Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
BUCKC|465.145.002|Buck Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
THOMC|465.145.005|Thomas Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
COYOTC|465.145.005|Coyote Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
SHIMC|465.145.008|Shimmihorn Creek, Umatilla River|River|Entire river or stream.|17070103|Umatilla|170701|Middle Columbia
MCNRXR|470|MCN - Release below the PIT-Tag Diversion System Gate with subsequent Transportation from the Facility|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNTRB|470|MCN - Release into Turbine(s)|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNGAT|470|MCN - Release into Flume between Separator Exit and the Primary PIT-Tag Diversion Gate|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNSEP|470|MCN - Release into the Flume downsteam of the Collection/Bypass Gate or into the Separator|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNDTG|470|MCN - Release into the Collection Flume/Pipe between the Dewatering Facility and the Collection/Bypass Gate|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNCOL|470|MCN - Release into the Collection Channel upstream of the Dewatering Facility|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNRRR|470|MCN - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNICE|470|MCN - Release into the Ice/Trash Sluiceway|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNRTR|470|MCN - Release below the PIT-Tag Diversion System Gate with subsequent Truck Transportation from the Facility|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNRBR|470|MCN - Release below the PIT-Tag Diversion System Gate with subsequent Barge Transportation from the Facility|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCN|470|McNary Dam|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNSTS|470|MCN - Release onto the Submerged Traveling Screen|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNBPS|470|MCN - Release into the PIT-Tag Diversion System between the Diversion Gate and the furthest downstream PIT-Tag Detector|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNSRR|470|MCN - Release into the Separator Return Flume/Pipe with Direct Return to the River|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNBYP|470|MCN - Release into the Facility Bypass Flume/Pipe|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNOFL|470|MCN - Release into the PIT-Tag Diversion System downstream of the Last PIT-Tag Detector|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNDWT|470|MCN - Release into the Dewatering Facility|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNGWL|470|MCN - Release into Gatewell(s)|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNORI|470|MCN - Release into Orifice(s)|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNSPL|470|MCN - Release directly into Spill Bay(s)|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNFBY|470|MCN - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNMRT|470|MCN - Mortality Recovery|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNTAL|470|MCN - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
MCNLD1|470|MCN - Release into the Left Bank (Oregon) Adult Fish Ladder|Intra-Dam Release Site|Specific release site within a dam location.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
HATRCK|480|Hat Rock State Park (Oregon)|Other|Other physical or geographical feature.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
WALLAR|509|Walla Walla River|River|Entire river or stream.|17070102|Walla Walla|170701|Middle Columbia
TOUCHR|509.035|Touchet River|River|Entire river or stream.|17070102|Walla Walla|170701|Middle Columbia
COPPEC|509.035.082|Coppei Creek - tributary to Touchet River|River|Entire river or stream.|17070102|Walla Walla|170701|Middle Columbia
DAYP|509.035.087|Dayton Acclimation Pond|Acclimation Pond|Acclimation pond or facility.|17070102|Walla Walla|170701|Middle Columbia
PATITC|509.035.101|Patit Creek - tributary to Touchet River|River|Entire river or stream.|17070102|Walla Walla|170701|Middle Columbia
PINEC|509.038|Pine Creek, Walla Walla River|River|Entire river or stream.|17070102|Walla Walla|170701|Middle Columbia
LWD|509.051|Lowden Diversion Dam II, Walla Walla River|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17070102|Walla Walla|170701|Middle Columbia
LWDTAL|509.051|LWD - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070102|Walla Walla|170701|Middle Columbia
MILLC|509.054|Mill Creek, Walla Walla River|River|Entire river or stream.|17070102|Walla Walla|170701|Middle Columbia
MCD|509.054.019|Mill Creek Diversion Dam (aka Bennington Dam)|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17070102|Walla Walla|170701|Middle Columbia
BGMTAL|509.059|BGM - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070102|Walla Walla|170701|Middle Columbia
BGM|509.059|Burlingame Diversion Dam, Walla Walla River|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17070102|Walla Walla|170701|Middle Columbia
YELHKC|509.070|Yellowhawk Creek, Walla Walla River|River|Entire river or stream.|17070102|Walla Walla|170701|Middle Columbia
NBG|509.072|Nursery Bridge Diversion Dam, Walla Walla River|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17070102|Walla Walla|170701|Middle Columbia
NBGFBY|509.072|NBG - Release into the Forebay within 0.5 km upstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070102|Walla Walla|170701|Middle Columbia
NBGTAL|509.072|NBG - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17070102|Walla Walla|170701|Middle Columbia
WALLNF|509.081|North Fork Walla Walla River|River|Entire river or stream.|17070102|Walla Walla|170701|Middle Columbia
WALLSF|509.081|South Fork Walla Walla River|River|Entire river or stream.|17070102|Walla Walla|170701|Middle Columbia
CRESIS|510|Crescent Island, Columbia River|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
BADGEI|512|Badger Island, Columbia River|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
FOUNDI|518|Foundation Island, Columbia River|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17070101|Middle Columbia-Lake Wallula|170701|Middle Columbia
SNAKE4|522|Snake River - Salmon River to Hells Canyon Dam (km 303-397)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060101|Hells Canyon|170601|Lower Snake
SNAKE1|522|Snake River - mouth to Palouse River (km 0-96)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060110|Lower Snake|170601|Lower Snake
SNAKE3|522|Snake River - Clearwater River to Salmon River (km 224-303)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060103|Lower Snake-Asotin|170601|Lower Snake
SNAKE2|522|Snake River - Palouse River to Clearwater River (km 96-224)|River Segment|Rivers that extend through multiple 4th level HUCs are dvidied into segments at HUC boundaries.|17060107|Lower Snake-Tucannon|170601|Lower Snake
GOOSEI|522.014|Goose Island, lower Snake River|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17060110|Lower Snake|170601|Lower Snake
IHRCOL|522.016|IHR - Release into the Collection Channel upstream of the Dewatering Facility|Intra-Dam Release Site|Specific release site within a dam location.|17060110|Lower Snake|170601|Lower Snake
IHRTAL|522.016|IHR - Release into the Tailrace within 0.5 km downstream of Dam|Intra-Dam Release Site|Specific release site within a dam location.|17060110|Lower Snake|170601|Lower Snake
IHRBYP|522.016|IHR - Release into the Facility Bypass Flume/Pipe|Intra-Dam Release Site|Specific release site within a dam location.|17060110|Lower Snake|170601|Lower Snake
IHRSPL|522.016|IHR - Release directly into Spill Bay(s)|Intra-Dam Release Site|Specific release site within a dam location.|17060110|Lower Snake|170601|Lower Snake
IHRTRB|522.016|IHR - Release into Turbine(s)|Intra-Dam Release Site|Specific release site within a dam location.|17060110|Lower Snake|170601|Lower Snake
IHRSPF|522.016|IHR - Release into the Forebay within 0.5 km upstream of Spillway|Intra-Dam Release Site|Specific release site within a dam location.|17060110|Lower Snake|170601|Lower Snake
IHR|522.016|Ice Harbor Dam|Dam|A hydroelectric, diversion or other type of dam; generally used as mark ro event locations only - Intra Dam Release Sites should be used to specify th|17060110|Lower Snake|170601|Lower Snake
LMONIS|522.064|Lower Monumental Island, Snake River|Avian Colony|A large congegration or known nesting location of birds that prey on salmonids.|17060110|Lower Snake|170601|Lower Snake
LMNRBR|522.067|LMN - Release below the PIT-Tag Diversion System Gate with subsequent Barge Transportation from the Facility|Intra-Dam Release Site|Specific release site within a dam location.|17060110|Lower Snake|170601|Lower Snake
LMNSEP|522.067|LMN - Release into the Flume downsteam of the Collection/Bypass Gate or into the Separator|Intra-Dam Release Site|Specific release site within a dam location.|17060110|Lower Snake|170601|Lower Snake
LMNDWT|522.067|LMN - Release into the Dewatering Facility|Intra-Dam Release Site|Specific release site within a dam location.|17060110|Lower Snake|170601|Lower Snake
