"Interrogation Site Code","Interrogation Site Name","Interrogation Site Long Name","Int Site Start Date","Int Site End Date","Int Site Active","Site Type Name","Interrogation Site Subbasin Code","Interrogation Site Subbasin Name","Interrogation Site Location Start","Interrogation Site Location End","Interrogation Site Location Latitude","Interrogation Site Location Longitude","Interrogation Site Location RKM","Interrogation Site Location RKM Total","Data Steward Name","Steward Email","Steward Phone","Steward Organization","Interrogation Site Basin Name","New Metric"
"CHP","Chiwawa Acc. Pond","CHP - Chiwawa Acc. Pond","1/1/1995","","1","Monitored Fish Release","17020011","Wenatchee","1/1/1995","","47.789057","-120.651952","754.077.002","833","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"CHS","CHALLIS DIVERSION SOUTH","CHS - CHALLIS DIVERSION SOUTH","9/1/1991","11/4/1992","0","Instream Remote Detection System","17060201","Upper Salmon","9/1/1991","11/4/1992","44.416474","-114.243504","","0","Unknown Contact","","","","Salmon","1"
"CHU","Upper Chiwawa River","CHU - Upper Chiwawa River","4/1/2008","","1","Instream Remote Detection System","17020011","Wenatchee","4/1/2008","","47.843795","-120.665435","754.077.012","843","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"CHW","Chiwaukum Creek","CHW - Chiwaukum Creek","4/26/2011","","1","Instream Remote Detection System","17020011","Wenatchee","4/26/2011","","47.681436","-120.731185","754.057.000","811","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"CIC","Cottonwood Island, Lwr Col Rvr","CIC - Cottonwood Island, Lwr Col Rvr","5/1/2010","7/1/2010","0","Instream Remote Detection System","17080003","Lower Columbia-Clatskanie","5/1/2010","7/1/2010","46.081477","-122.876517","112","112","Doug Peterson","doug_peterson@fws.gov","360-425-6072","USFWS","Lower Columbia","1"
"CJP","CJH Juvenile Release Pond","CJP - CJH Juvenile Release Pond","4/15/2015","","1","Monitored Fish Release","17020005","Chief Joseph","4/15/2015","","48.000951","-119.648530","868","868","Andrea Pearl","andrea.pearl@colvilletribes.com","509-422-7437","CCT","Upper Columbia","1"
"CLC","Clear Creek near Kooskia NFH","CLC - Clear Creek near Kooskia NFH","2/11/2015","7/23/2018","0","Instream Remote Detection System","17060304","Middle Fork Clearwater","2/11/2015","7/23/2018","46.132739","-115.950184","522.224.120.004.001","871","Frank Mullins","frank_mullins@fws.gov","","USFWS","Clearwater","1"
"CLE","Cle Elum Dam Interim Bypass","CLE - Cle Elum Dam Interim Bypass","6/1/2006","","1","Juvenile Fish Bypass Facility","17030001","Upper Yakima","6/1/2006","","47.245637","-121.073854","539.299.013","851","Jason Romine","Jason_romine@fws.gov","","USFWS","Yakima","1"
"CLJ","Clearwater River Trap","CLJ - Clearwater River Trap","3/30/1989","3/4/2014","0","Instream Juvenile Fish Trap","17060306","Clearwater","3/30/1989","3/4/2014","46.425001","-116.922855","522.224.010","756","Scott Putnam","scott.putnam@idfg.idaho.gov","208-799-5010","IDFG","Clearwater","1"
"CLP","Coulter Creek Acclimation Pond","CLP - Coulter Creek Acclimation Pond","1/1/2006","","1","Monitored Fish Release","17020011","Wenatchee","1/1/2006","","47.764530","-120.803000","754.089.014.001","858","Jeffrey Caisman","caij@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"CML","Chewuch River Middle Lower","CML - Chewuch River Middle Lower","10/14/2021","","1","Instream Remote Detection System","17020008","Methow","10/14/2021","","48.518691","-120.183819","843.080.007","930","Matt Abrahamse","abrm@yakamafish-nsn.gov","509-996-3122","YINN","Upper Columbia","1"
"CMP","Camp Creek at rkm 2 - Imnaha","CMP - Camp Creek at rkm 2 - Imnaha","2/15/2013","","1","Instream Remote Detection System","17060102","Imnaha","2/15/2013","4/14/2021","45.551819","-116.866939","522.308.032.002.002","866","Jim Harbeck","jimh@nezperce.org","541-432-2501","NPT","Lower Snake","1"
"CMP","Camp Creek at rkm 2 - Imnaha","CMP - Camp Creek at rkm 2 - Imnaha","2/15/2013","","1","Instream Remote Detection System","17060102","Imnaha","4/14/2021","","45.554828","-116.872927","522.308.032.002.002","866","Jim Harbeck","jimh@nezperce.org","541-432-2501","NPT","Lower Snake","1"
"CMU","Chewuch River Middle Upper","CMU - Chewuch River Middle Upper","11/15/2021","","1","Instream Remote Detection System","17020008","Methow","11/15/2021","","48.523370","-120.186750","843.080.008","931","Matt Abrahamse","abrm@yakamafish-nsn.gov","509-996-3122","YINN","Upper Columbia","1"
"COC","Cow Creek ISA @ stream mouth","COC - Cow Creek ISA @ stream mouth","1/1/2011","","1","Instream Remote Detection System","17060102","Imnaha","1/1/2011","","45.767740","-116.744037","522.308.006.001","837","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Lower Snake","1"
"COP","Lower Coppei Instream Array","COP - Lower Coppei Instream Array","10/15/2015","","1","Instream Remote Detection System","17070102","Walla Walla","10/15/2015","","46.269210","-118.167330","509.035.082.001","627","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","Middle Columbia","1"
"CR1","Chinook River Sea Resources CF","CR1 - Chinook River Sea Resources CF","9/8/2002","10/31/2006","0","Instream Remote Detection System","17080006","Lower Columbia","9/8/2002","10/31/2006","46.269880","-123.930483","006.005","11","Unknown Contact","","","","Lower Columbia","1"
"CR2","Chinook River HWY 101 Bridge","CR2 - Chinook River HWY 101 Bridge","10/1/2002","7/25/2006","0","Instream Remote Detection System","17080006","Lower Columbia","10/1/2002","7/25/2006","46.303959","-123.966928","","0","Unknown Contact","","","","Lower Columbia","1"
"CR3","Chinook River at Culvert","CR3 - Chinook River at Culvert","9/1/2003","10/6/2006","0","Instream Remote Detection System","17080006","Lower Columbia","9/1/2003","10/6/2006","46.283471","-123.937559","","0","Unknown Contact","","","","Lower Columbia","1"
"CRA","Crooked River Array","CRA - Crooked River Array","10/7/2021","","1","Instream Remote Detection System","17060305","South Fork Clearwater","10/7/2021","","45.821493","-115.527660","522.224.120.094.000","960","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Clearwater","1"
"CRC","Carmen Creek, Salmon R. Basin","CRC - Carmen Creek, Salmon R. Basin","10/21/2013","3/1/2018","0","Instream Remote Detection System","17060203","Middle Salmon-Panther","10/21/2013","3/1/2018","45.246485","-113.893466","522.303.408.001","1234","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"CRT","Crooked River Satellite Fac.","CRT - Crooked River Satellite Fac.","1/5/2012","7/29/2015","0","Hatchery Returns","17060305","South Fork Clearwater","1/5/2012","7/29/2015","45.820931","-115.527782","522.224.120.094.001","961","Matt Belnap","Matt.Belnap@idfg.idaho.gov","208-854-8902","IDFG","Clearwater","1"
"CRU","Upper Chewuch Instream Array","CRU - Upper Chewuch Instream Array","7/28/2014","","1","Instream Remote Detection System","17020008","Methow","7/28/2014","","48.669459","-120.137058","843.080.028","951","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"CRW","Chewuch River above Winthrop","CRW - Chewuch River above Winthrop","4/1/2010","","1","Instream Remote Detection System","17020008","Methow","4/1/2010","","48.482323","-120.181370","843.080.001","924","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","Upper Columbia","1"
"CSH","Cowlitz Salmon Hatchery Ladder","CSH - Cowlitz Salmon Hatchery Ladder","5/25/2022","","1","Hatchery Returns","17080005","Lower Cowlitz","5/25/2022","","46.511337","-122.629388","111.080","191","Scott Gibson","SGibson@ci.tacoma.wa.us","253-779-7535","TPU","Lower Columbia","1"
"CWP","Chewuch Acclimation Pond","CWP - Chewuch Acclimation Pond","4/16/2015","","1","Monitored Fish Release","17020008","Methow","4/16/2015","","48.565110","-120.176618","843.080.010","933","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"CZY","Crazyman Creek at 0.6 km","CZY - Crazyman Creek at 0.6 km","11/8/2013","","1","Instream Remote Detection System","17060102","Imnaha","11/8/2013","","45.229300","-116.844780","522.308.080.001","911","Neal Espinosa","neale@nezperce.org","541-432-2502","NPT","Lower Snake","1"
"DBH","Buck Hollow Ck Deschutes Trib","DBH - Buck Hollow Ck Deschutes Trib","4/2/2012","","1","Instream Remote Detection System","17070306","Lower Deschutes","4/2/2012","","45.262308","-121.023275","328.069.001","398","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Deschutes","1"
"DBO","Bakeoven Ck Deschutes Trib","DBO - Bakeoven Ck Deschutes Trib","4/5/2012","","1","Instream Remote Detection System","17070306","Lower Deschutes","4/5/2012","","45.172741","-121.072549","328.083.001","412","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Deschutes","1"
"DRM","Deschutes River mouth","DRM - Deschutes River mouth","3/13/2013","8/9/2019","0","Instream Remote Detection System","17070306","Lower Deschutes","3/13/2013","8/9/2019","45.631808","-120.912483","328.001","329","Lyman Jim","lyman.jim@ctwsbnr.org","541-553-3587","CTWSR","Deschutes","1"
"DRP","Dryden Acc. Pond","DRP - Dryden Acc. Pond","1/1/1994","","1","Monitored Fish Release","17020011","Wenatchee","1/1/1994","","47.544659","-120.563573","754.026","780","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"DSF","Deschutes Sherars Falls","DSF - Deschutes Sherars Falls","10/27/2016","","1","Adult Fishway","17070306","Lower Deschutes","10/27/2016","","45.256897","-121.039616","328.071","399","Lyman Jim","lyman.jim@ctwsbnr.org","541-553-3587","CTWSR","Deschutes","1"
"DWL","Dworshak NFH adult trap","DWL - Dworshak NFH adult trap","2/1/2010","","1","Hatchery Returns","17060308","Lower North Fork Clearwater","2/1/2010","","46.502652","-116.324263","522.224.065","811","Frank Mullins","frank_mullins@fws.gov","","USFWS","Clearwater","1"
"DXP","Dexter Ponds Fish Ladder","DXP - Dexter Ponds Fish Ladder","5/24/2017","4/3/2019","0","Adult Fishway","17090001","Middle Fork Willamette","5/24/2017","4/3/2019","43.924970","-122.807408","163.301.027","491","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"EBO","East Bank Hatchery Outfall","EBO - East Bank Hatchery Outfall","6/7/2013","","1","Hatchery Returns","17020010","Upper Columbia-Entiat","6/7/2013","","47.534397","-120.290826","764","764","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"ECH","Eagle Creek Hatchery Ladder","ECH - Eagle Creek Hatchery Ladder","7/1/2011","3/30/2015","0","Hatchery Returns","17090011","Clackamas","7/1/2011","3/30/2015","45.275945","-122.204011","163.040.026.020","249","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","Willamette","1"
"ECL","Eagle Creek Lower Fish Ladder","ECL - Eagle Creek Lower Fish Ladder","7/1/2011","5/13/2015","0","Instream Remote Detection System","17090011","Clackamas","7/1/2011","5/13/2015","45.323846","-122.299029","163.040.026.010","239","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","Willamette","1"
"EFD","East Fork Diversion Fishway","EFD - East Fork Diversion Fishway","3/9/2016","","1","Adult Fishway","17070105","Middle Columbia-Hood","3/9/2016","","45.509403","-121.564780","273.023.011","307","Ryan Gerstenberger","ryan.gerstenberger@ctwsbnr.org","541-352-9326","CTWSR","Middle Columbia","1"
"EHL","Entiat NFH Adult Ladder","EHL - Entiat NFH Adult Ladder","7/3/2013","","1","Hatchery Returns","17020010","Upper Columbia-Entiat","7/3/2013","","47.697360","-120.323100","778.011","789","Matt Cooper","Matt_cooper@fws.gov","509-548-7573","USFWS","Upper Columbia","1"
"EMC","Eightmile Creek, Methow River","EMC - Eightmile Creek, Methow River","12/1/2008","5/17/2011","0","Instream Remote Detection System","17020008","Methow","12/1/2008","5/17/2011","48.604816","-120.168271","843.080.018.001","942","Kyle Martens","Kyle.Martens@dnr.wa.gov","360-902-1272","WDNR","Upper Columbia","1"
"ENA","Upper Entiat River at rkm 17.1","ENA - Upper Entiat River at rkm 17.1","4/6/2011","","1","Instream Remote Detection System","17020010","Upper Columbia-Entiat","4/6/2011","","47.736615","-120.362532","778.017","795","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"ENF","Upper Entiat River at rkm 40.6","ENF - Upper Entiat River at rkm 40.6","8/10/2010","","1","Instream Remote Detection System","17020010","Upper Columbia-Entiat","8/10/2010","","47.901735","-120.466191","778.041","819","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"ENL","Lower Entiat River","ENL - Lower Entiat River","10/1/2007","","1","Instream Remote Detection System","17020010","Upper Columbia-Entiat","10/1/2007","","47.663782","-120.242820","778.002","780","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"ENM","Middle Entiat River","ENM - Middle Entiat River","3/1/2008","10/31/2018","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/1/2008","10/31/2018","47.797049","-120.403073","778.026","804","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"ENS","Upper Entiat River at rkm 35.7","ENS - Upper Entiat River at rkm 35.7","5/5/2011","8/20/2019","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","5/5/2011","8/20/2019","47.856847","-120.422479","778.036","814","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"EPR","East Fork Potlatch Array","EPR - East Fork Potlatch Array","10/25/2019","","1","Instream Remote Detection System","17060306","Clearwater","10/25/2019","","46.795091","-116.410880","522.224.024.065.003","838","Brian Knoth","Brian.Knoth@idfg.idaho.gov","208-750-4230","IDFG","Clearwater","1"
"ESJ","Easton Acc. Pond","ESJ - Easton Acc. Pond","3/14/1999","","1","Monitored Fish Release","17030001","Upper Yakima","3/14/1999","","47.236201","-121.168441","539.325","864","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Yakima","1"
"ESS","EFSF Salmon River at Parks Cr.","ESS - EFSF Salmon River at Parks Cr.","3/1/2009","","1","Instream Remote Detection System","17060208","South Fork Salmon","3/1/2009","","44.956205","-115.533150","522.303.215.060.021","1121","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"ESX","Estuary Saltwater Experiment","ESX - Estuary Saltwater Experiment","3/1/2003","6/9/2005","0","Trawl Net","17080006","Lower Columbia","3/1/2003","6/9/2005","46.211555","-123.963177","","0","Richard Ledgerwood","dick.ledgerwood@gmail.com","503-791-4850","NMFS","Lower Columbia","1"
"EVL","Eagle Valley Ranch - Lower","EVL - Eagle Valley Ranch - Lower","8/5/2019","","1","Instream Remote Detection System","17060204","Lemhi","8/5/2019","","45.115074","-113.774021","522.303.416.016","1257","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"EVU","Eagle Valley Ranch - Upper","EVU - Eagle Valley Ranch - Upper","7/18/2019","","1","Instream Remote Detection System","17060204","Lemhi","7/18/2019","","45.100087","-113.726042","522.303.416.020","1261","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"EWC","Early Winters Creek rkm 0.36","EWC - Early Winters Creek rkm 0.36","4/1/2013","9/6/2017","0","Instream Remote Detection System","17020008","Methow","4/1/2013","9/6/2017","48.599537","-120.442272","843.113.001","957","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"FDC","Feed Canal","FDC - Feed Canal","12/5/2006","","1","Instream Remote Detection System","17070103","Umatilla","12/5/2006","","45.721488","-119.177031","465.047","512","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","Middle Columbia","1"
"FDD","Feed Diversion Dam","FDD - Feed Diversion Dam","11/1/2008","","1","Instream Remote Detection System","17070103","Umatilla","11/1/2008","","45.720695","-119.176819","465.045","510","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","Middle Columbia","1"
"FID","Farmer's Diversion, Hood River","FID - Farmer's Diversion, Hood River","4/14/2022","","1","Instream Remote Detection System","17070105","Middle Columbia-Hood","4/14/2022","","45.615670","-121.622502","273.017","290","Ryan Gerstenberger","ryan.gerstenberger@ctwsbnr.org","541-352-9326","CTWSR","Middle Columbia","1"
"FOL","Foster Dam Ladder S Santiam R","FOL - Foster Dam Ladder S Santiam R","5/11/2016","4/25/2019","0","Adult Fishway","17090006","South Santiam","5/11/2016","4/25/2019","44.414500","-122.673703","163.174.019.060","416","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"FOS","Foster Dam Weir","FOS - Foster Dam Weir","5/15/2014","1/31/2018","0","Instream Remote Detection System","17090006","South Santiam","5/15/2014","1/31/2018","44.414939","-122.670262","163.174.019.060","416","Fred Monzyk","fred.monzyk@oregonstate.edu","541-757-5119","ODFW","Willamette","1"
"FST","Foster Creek","FST - Foster Creek","3/1/2014","","1","Instream Remote Detection System","17020005","Chief Joseph","3/1/2014","","47.996326","-119.646768","868.001","869","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"GCM","Grouse Creek Mouth","GCM - Grouse Creek Mouth","3/18/2020","","1","Instream Remote Detection System","17060102","Imnaha","3/18/2020","","45.328017","-116.806641","522.308.066.000","896","Jim Harbeck","jimh@nezperce.org","541-432-2501","NPT","Lower Snake","1"
"GL2","SF Gold Creek, Methow River","GL2 - SF Gold Creek, Methow River","1/1/2009","10/9/2010","0","Instream Remote Detection System","17020008","Methow","1/1/2009","10/9/2010","48.161596","-120.141450","843.035.002.004","884","Kyle Martens","Kyle.Martens@dnr.wa.gov","360-902-1272","WDNR","Upper Columbia","1"
"GLC","Gold Creek, Methow River","GLC - Gold Creek, Methow River","1/1/2009","","1","Instream Remote Detection System","17020008","Methow","1/1/2009","","48.188368","-120.097128","843.035.001","879","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","Upper Columbia","1"
"GOA","Little Goose Fish Ladder","GOA - Little Goose Fish Ladder","3/28/2014","","1","Adult Fishway","17060107","Lower Snake-Tucannon","3/28/2014","","46.582668","-118.027794","522.113","635","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Snake","1"
"GOJ","Little Goose Dam Juvenile","GOJ - Little Goose Dam Juvenile","1/1/1986","","1","Juvenile Fish Bypass Facility","17060107","Lower Snake-Tucannon","1/1/1986","","46.582381","-118.031607","522.113","635","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Snake","1"
"GRA","Lower Granite Dam Adult","GRA - Lower Granite Dam Adult","1/1/1987","","1","Adult Fishway","17060107","Lower Snake-Tucannon","1/1/1987","","46.657760","-117.433225","522.173","695","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Snake","1"
"GRB","Lower Green River Barge Puget","GRB - Lower Green River Barge Puget","3/25/2021","","1","Instream Remote Detection System","17110013","Duwamish","3/25/2021","","47.463900","-122.248896","***.018.002","0","Chris Gregersen","Chris.Gregersen@kingcounty.gov","206-477-4699","KCWLRD","Puget Sound","1"
"GRJ","Lower Granite Dam Juvenile","GRJ - Lower Granite Dam Juvenile","3/25/1988","","1","Juvenile Fish Bypass Facility","17060107","Lower Snake-Tucannon","3/25/1988","","46.660394","-117.436261","522.173","695","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Snake","1"
"GRP","Grande Ronde Acc. Pond","GRP - Grande Ronde Acc. Pond","2/1/2002","4/16/2013","0","Monitored Fish Release","17060104","Upper Grande Ronde","2/1/2002","4/16/2013","45.079276","-118.331479","522.271.320","1113","Mike McLean","MikeMcLean@ctuir.org","541-429-7960","CTUIR","Lower Snake","1"
"GRS","Lower Granite Dam Spillway","GRS - Lower Granite Dam Spillway","12/18/2019","","1","Spillway","17060107","Lower Snake-Tucannon","12/18/2019","","46.658972","-117.430058","522.173","695","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Snake","1"
"GRX","LOWER GRANITE EXPERIMENTAL","GRX - LOWER GRANITE EXPERIMENTAL","4/1/1995","9/2/1999","0","Juvenile Fish Bypass Facility","17060107","Lower Snake-Tucannon","4/1/1995","9/2/1999","46.660255","-117.436044","522.173","695","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Snake","1"
"GWP","Goat Wall Acclimation Pond","GWP - Goat Wall Acclimation Pond","3/30/2017","","1","Monitored Fish Release","17020008","Methow","3/30/2017","","48.632780","-120.469342","843.116","959","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"HEC","Hawley Cr/18 Mile Cr Array","HEC - Hawley Cr/18 Mile Cr Array","10/12/2013","12/12/2015","0","Instream Remote Detection System","17060204","Lemhi","10/12/2013","12/12/2015","44.668594","-113.311550","522.303.416.092.004.001","1338","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"HLM","Potlatch River near Helmer","HLM - Potlatch River near Helmer","9/1/2009","5/22/2015","0","Instream Remote Detection System","17060306","Clearwater","9/1/2009","5/22/2015","46.799006","-116.428412","522.224.024.066","836","Brian Knoth","Brian.Knoth@idfg.idaho.gov","208-750-4230","IDFG","Clearwater","1"
"HLX","Hemlock Dam Fish Ladder Exp.","HLX - Hemlock Dam Fish Ladder Exp.","7/12/2004","7/1/2009","0","Instream Remote Detection System","17070105","Middle Columbia-Hood","7/12/2004","7/1/2009","45.802154","-121.932144","251.017.002","270","Ian Jezorek","ijezorek@usgs.gov","509-528-2908","USGS","Middle Columbia","1"
"HN1","Top of Harrison side channel","HN1 - Top of Harrison side channel","3/27/2013","12/29/2016","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/27/2013","12/29/2016","47.669771","-120.294569","778.006","784","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","Upper Columbia","1"
"HN2","Middle Harrison Side Channel","HN2 - Middle Harrison Side Channel","4/2/2013","4/22/2017","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","4/2/2013","4/22/2017","47.670440","-120.291200","778.006","784","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","Upper Columbia","1"
"HN3","Bottom Harrison Side Channel","HN3 - Bottom Harrison Side Channel","3/27/2013","4/22/2017","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/27/2013","4/22/2017","47.670610","-120.289900","778.006","784","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","Upper Columbia","1"
"HRM","Hood River Mouth","HRM - Hood River Mouth","1/9/2012","","1","Instream Remote Detection System","17070105","Middle Columbia-Hood","1/9/2012","","45.713986","-121.508462","273.000","273","Ryan Gerstenberger","ryan.gerstenberger@ctwsbnr.org","541-352-9326","CTWSR","Middle Columbia","1"
"HS1","Top of side channel near ENFH","HS1 - Top of side channel near ENFH","7/11/2015","12/15/2016","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","7/11/2015","12/15/2016","47.698440","-120.321230","778.011","789","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","Upper Columbia","1"
"HS2","Bottom side channel near ENFH","HS2 - Bottom side channel near ENFH","7/11/2015","12/16/2016","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","7/11/2015","12/16/2016","47.697967","-120.322040","778.011","789","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","Upper Columbia","1"
"HSL","Hancock Springs Lower","HSL - Hancock Springs Lower","4/17/2013","1/6/2016","0","Instream Remote Detection System","17020008","Methow","4/17/2013","1/6/2016","48.531648","-120.324021","843.097.001","941","John Jorgensen","jorj@yakamafish-nsn.gov","509-670-7298","YINN","Upper Columbia","1"
"HSM","Hancock Springs Middle","HSM - Hancock Springs Middle","4/17/2013","1/4/2016","0","Instream Remote Detection System","17020008","Methow","4/17/2013","1/4/2016","48.533953","-120.330800","843.097.001","941","John Jorgensen","jorj@yakamafish-nsn.gov","509-670-7298","YINN","Upper Columbia","1"
"HST","Touchet River at Harvey Shaw","HST - Touchet River at Harvey Shaw","9/1/2015","","1","Instream Remote Detection System","17070102","Walla Walla","9/1/2015","","46.287439","-118.488939","509.035.050","594","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","Middle Columbia","1"
"HSU","Hancock Springs Upper","HSU - Hancock Springs Upper","4/17/2013","1/6/2016","0","Instream Remote Detection System","17020008","Methow","4/17/2013","1/6/2016","48.534604","-120.333895","843.097.001","941","John Jorgensen","jorj@yakamafish-nsn.gov","509-670-7298","YINN","Upper Columbia","1"
"HYC","Hayden Creek In-stream Array","HYC - Hayden Creek In-stream Array","8/1/2009","","1","Instream Remote Detection System","17060204","Lemhi","8/1/2009","","44.861654","-113.631937","522.303.416.049.001","1291","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"ICH","Ice Harbor Dam (Combined)","ICH - Ice Harbor Dam (Combined)","4/8/2005","","1","Combined Dam Location","17060110","Lower Snake","4/8/2005","","46.249527","-118.879964","522.016","538","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Snake","1"
"ICL","Lower Icicle Instream Array","ICL - Lower Icicle Instream Array","9/8/2011","","1","Instream Remote Detection System","17020011","Wenatchee","9/8/2011","","47.578648","-120.662589","754.041.000","795","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"ICM","Middle Icicle Instream Array","ICM - Middle Icicle Instream Array","4/1/2015","","1","Instream Remote Detection System","17020011","Wenatchee","4/1/2015","","47.549657","-120.679710","754.041.007","802","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"ICU","Upper Icicle Instream Array","ICU - Upper Icicle Instream Array","10/14/2014","","1","Instream Remote Detection System","17020011","Wenatchee","10/14/2014","","47.543481","-120.714954","754.041.010","805","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"IHA","Ice Harbor Adult","IHA - Ice Harbor Adult","3/1/2003","4/8/2005","0","Adult Fishway","17060110","Lower Snake","3/1/2003","4/8/2005","46.249527","-118.879964","522.016","538","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Lower Snake","1"
"IMJ","Imnaha River Trap","IMJ - Imnaha River Trap","4/12/1994","4/20/1999","0","Instream Juvenile Fish Trap","17060102","Imnaha","4/12/1994","4/20/1999","45.763700","-116.748000","522.308.007","837","Unknown Contact","","","","Lower Snake","1"
"IML","Imnaha River Weir Adult Ladder","IML - Imnaha River Weir Adult Ladder","5/18/2015","","1","Adult Fishway","17060102","Imnaha","5/18/2015","","45.194276","-116.868663","522.308.084","914","Joseph Feldhaus","joseph.feldhaus@odfw.oregon.gov","541-962-3724","ODFW","Lower Snake","1"
"IR1","Lower Imnaha River ISA @ km 7","IR1 - Lower Imnaha River ISA @ km 7","12/1/2010","","1","Instream Remote Detection System","17060102","Imnaha","12/1/2010","","45.761052","-116.750231","522.308.007","837","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Lower Snake","1"
"IR2","Lower Imnaha River ISA @ km 10","IR2 - Lower Imnaha River ISA @ km 10","11/1/2010","","1","Instream Remote Detection System","17060102","Imnaha","11/1/2010","","45.742702","-116.764304","522.308.010","840","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Lower Snake","1"
