"event_site_name","count","event_type_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent","dam","dam_abbr"
"WPC - Wimpey Creek, Lemhi R. Basin",2,"Observation","02","02","Downstream Antenna","Downstream Antenna",110,NA,"in stream",NA
"WR1 - Wallowa River at river km 14",120,"Observation","A3","A3","Left Center","Left Center",100,NA,"in stream",NA
"WR2 - Wallowa River at rkm 32",139,"Observation","05","05","Downstream Array","Downstream Array",100,NA,"in stream",NA
"WSH - Warm Springs Hatchery",49,"Observation","01","02","ADULT FISHWAY","ADULT FISHWAY",120,NA,"in stream",NA
"WSR - Warm Springs River PIT Array",52,"Observation","01","01","PIT Tag Array","PIT Tag Array",100,NA,"in stream",NA
"WTL - White River, Wenatchee Basin",4,"Observation","06","06","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",120,NA,"in stream",NA
"WW1 - Harris Bridge S F Walla Walla",1,"Observation","01","02","LEFT","RIGHT",140,NA,"in stream",NA
"WWB - Walla Walla River Barge Array",50,"Observation","B6","B1","Downstream Barge","Downstream Barge",110,NA,"in stream",NA
"YFK - Yankee Fork Salmon River",29,"Observation","A4","A1","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA,"in stream",NA
"YHC - Yellowhawk Creek",1,"Observation","A1","A1","INSTREAM ANTENNA AT HEADGATE","INSTREAM ANTENNA AT HEADGATE",110,NA,"in stream",NA
"ZEN - Secesh River at Zena Cr. Ranch",3,"Observation","B4","B4","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",110,NA,"in stream",NA
"ZSL - Zosel Dam Combined",7,"Observation","A2","A1","Left Ladder Weir 3","Left Ladder Weir 2",130,NA,"in stream",NA
